CountyFIPS,state,county,convspth16
01001,AL,Autauga,.56080174
01003,AL,Baldwin,.56865001
01005,AL,Barbour,.73717701
01007,AL,Bibb,.66274911
01009,AL,Blount,.46905944
01011,AL,Bullock,.57465762
01013,AL,Butler,1.1019284
01015,AL,Calhoun,.73056185
01017,AL,Chambers,.65248984
01019,AL,Cherokee,.69859505
01021,AL,Chilton,.75290895
01023,AL,Choctaw,1.1494253
01025,AL,Clarke,.53388089
01027,AL,Clay,.4474273
01029,AL,Cleburne,.80683118
01031,AL,Coffee,.56621826
01033,AL,Colbert,.8283174
01035,AL,Conecuh,1.1985617
01037,AL,Coosa,.74012399
01039,AL,Covington,.90943134
01041,AL,Crenshaw,.50334364
01043,AL,Cullman,.64381331
01045,AL,Dale,.58909565
01047,AL,Dallas,.8981812
01049,AL,DeKalb,.70208943
01051,AL,Elmore,.67700642
01053,AL,Escambia,.80051231
01055,AL,Etowah,.68142438
01057,AL,Fayette,.48373443
01059,AL,Franklin,.63337237
01061,AL,Geneva,.56569618
01063,AL,Greene,1.531574
01065,AL,Hale,.80824411
01067,AL,Henry,.70208287
01069,AL,Houston,.68155855
01071,AL,Jackson,.80693191
01073,AL,Jefferson,.69572127
01075,AL,Lamar,.64520752
01077,AL,Lauderdale,.53076833
01079,AL,Lawrence,.60182959
01081,AL,Lee,.49690849
01083,AL,Limestone,.63495481
01085,AL,Lowndes,.87882042
01087,AL,Macon,.68162751
01089,AL,Madison,.60901684
01091,AL,Marengo,1.076647
01093,AL,Marion,.76866519
01095,AL,Marshall,.77859497
01097,AL,Mobile,.60262454
01099,AL,Monroe,.64898944
01101,AL,Montgomery,.65720987
01103,AL,Morgan,.79953545
01105,AL,Perry,.83594567
01107,AL,Pickens,.4430224
01109,AL,Pike,.60213757
01111,AL,Randolph,.88896793
01113,AL,Russell,.60161233
01115,AL,St. Clair,.60583889
01117,AL,Shelby,.50219589
01119,AL,Sumter,1.5465512
01121,AL,Talladega,.9703182
01123,AL,Tallapoosa,.86262137
01125,AL,Tuscaloosa,.6205098
01127,AL,Walker,.72799367
01129,AL,Washington,.6007449
01131,AL,Wilcox,.82758623
01133,AL,Winston,1.0047306
02013,AK,Aleutians East,0
02016,AK,Aleutians West,.17400382
02020,AK,Anchorage,.17150006
02050,AK,Bethel,.27808675
02060,AK,Bristol Bay,0
02068,AK,Denali,1.4669926
02070,AK,Dillingham,.20096463
02090,AK,Fairbanks North Star,.23856385
02100,AK,Haines,0
02105,AK,Hoonah-Angoon,0
02110,AK,Juneau,.21601605
02122,AK,Kenai Peninsula,.3074663
02130,AK,Ketchikan Gateway,.21854739
02150,AK,Kodiak Island,.14620952
02164,AK,Lake and Peninsula,1.2484394
02170,AK,Matanuska-Susitna,.16326845
02180,AK,Nome,.10085729
02185,AK,North Slope,.20650491
02188,AK,Northwest Arctic,.26102844
02195,AK,Petersburg,0
02198,AK,Prince of Wales-Hyder,0
02220,AK,Sitka,.22810219
02230,AK,Skagway,0
02240,AK,Southeast Fairbanks,.73099416
02261,AK,Valdez-Cordova,.85653102
02270,AK,Wade Hampton,0
02275,AK,Wrangell,0
02282,AK,Yakutat,0
02290,AK,Yukon-Koyukuk,.73909831
04001,AZ,Apache,.57444692
04003,AZ,Cochise,.47066331
04005,AZ,Coconino,.57110631
04007,AZ,Gila,.58164626
04009,AZ,Graham,.47660655
04011,AZ,Greenlee,.62350619
04012,AZ,La Paz,1.0232422
04013,AZ,Maricopa,.22913118
04015,AZ,Mohave,.44307032
04017,AZ,Navajo,.52620888
04019,AZ,Pima,.27950093
04021,AZ,Pinal,.1999446
04023,AZ,Santa Cruz,.34725991
04025,AZ,Yavapai,.36102208
04027,AZ,Yuma,.32122573
05001,AR,Arkansas,.93329674
05003,AR,Ashley,.68299347
05005,AR,Baxter,.38886863
05007,AR,Benton,.31309915
05009,AR,Boone,.56465274
05011,AR,Bradley,.45541489
05013,AR,Calhoun,.58117008
05015,AR,Carroll,.61309868
05017,AR,Chicot,.82478005
05019,AR,Clark,.44345897
05021,AR,Clay,.53131431
05023,AR,Cleburne,.55646092
05025,AR,Cleveland,.60532689
05027,AR,Columbia,.75053161
05029,AR,Conway,.62215841
05031,AR,Craighead,.40650022
05033,AR,Crawford,.44973418
05035,AR,Crittenden,.60827249
05037,AR,Cross,.58695781
05039,AR,Dallas,.94212651
05041,AR,Desha,.67114097
05043,AR,Drew,.59050894
05045,AR,Faulkner,.42593974
05047,AR,Franklin,.56589895
05049,AR,Fulton,.66450703
05051,AR,Garland,.48864412
05053,AR,Grant,.49740246
05055,AR,Greene,.40254948
05057,AR,Hempstead,.68101335
05059,AR,Hot Spring,.44848412
05061,AR,Howard,.74415833
05063,AR,Independence,.51221222
05065,AR,Izard,.5189029
05067,AR,Jackson,.63550752
05069,AR,Jefferson,.56865031
05071,AR,Johnson,.45757866
05073,AR,Lafayette,.72170901
05075,AR,Lawrence,.96159625
05077,AR,Lee,.10683761
05079,AR,Lincoln,.57929039
05081,AR,Little River,.40225261
