CountyFIPS,state,county,convs16
01001,AL,Autauga,31
01003,AL,Baldwin,118
01005,AL,Barbour,19
01007,AL,Bibb,15
01009,AL,Blount,27
01011,AL,Bullock,6
01013,AL,Butler,22
01015,AL,Calhoun,84
01017,AL,Chambers,22
01019,AL,Cherokee,18
01021,AL,Chilton,33
01023,AL,Choctaw,15
01025,AL,Clarke,13
01027,AL,Clay,6
01029,AL,Cleburne,12
01031,AL,Coffee,29
01033,AL,Colbert,45
01035,AL,Conecuh,15
01037,AL,Coosa,8
01039,AL,Covington,34
01041,AL,Crenshaw,7
01043,AL,Cullman,53
01045,AL,Dale,29
01047,AL,Dallas,36
01049,AL,DeKalb,50
01051,AL,Elmore,55
01053,AL,Escambia,30
01055,AL,Etowah,70
01057,AL,Fayette,8
01059,AL,Franklin,20
01061,AL,Geneva,15
01063,AL,Greene,13
01065,AL,Hale,12
01067,AL,Henry,12
01069,AL,Houston,71
01071,AL,Jackson,42
01073,AL,Jefferson,459
01075,AL,Lamar,9
01077,AL,Lauderdale,49
01079,AL,Lawrence,20
01081,AL,Lee,79
01083,AL,Limestone,59
01085,AL,Lowndes,9
01087,AL,Macon,13
01089,AL,Madison,217
01091,AL,Marengo,21
01093,AL,Marion,23
01095,AL,Marshall,74
01097,AL,Mobile,250
01099,AL,Monroe,14
01101,AL,Montgomery,149
01103,AL,Morgan,95
01105,AL,Perry,8
01107,AL,Pickens,9
01109,AL,Pike,20
01111,AL,Randolph,20
01113,AL,Russell,35
01115,AL,St. Clair,53
01117,AL,Shelby,106
01119,AL,Sumter,20
01121,AL,Talladega,78
01123,AL,Tallapoosa,35
01125,AL,Tuscaloosa,128
01127,AL,Walker,47
01129,AL,Washington,10
01131,AL,Wilcox,9
01133,AL,Winston,24
02013,AK,Aleutians East,0
02016,AK,Aleutians West,1
02020,AK,Anchorage,51
02050,AK,Bethel,5
02060,AK,Bristol Bay,0
02068,AK,Denali,3
02070,AK,Dillingham,1
02090,AK,Fairbanks North Star,24
02100,AK,Haines,0
02105,AK,Hoonah-Angoon,3
02110,AK,Juneau,7
02122,AK,Kenai Peninsula,18
02130,AK,Ketchikan Gateway,3
02150,AK,Kodiak Island,2
02164,AK,Lake and Peninsula,2
02170,AK,Matanuska-Susitna,17
02180,AK,Nome,1
02185,AK,North Slope,2
02188,AK,Northwest Arctic,2
02195,AK,Petersburg,4
02198,AK,Prince of Wales-Hyder,5
02220,AK,Sitka,2
02230,AK,Skagway,1
02240,AK,Southeast Fairbanks,5
02261,AK,Valdez-Cordova,8
02270,AK,Wade Hampton,1
02275,AK,Wrangell,1
02282,AK,Yakutat,0
02290,AK,Yukon-Koyukuk,4
04001,AZ,Apache,41
04003,AZ,Cochise,59
04005,AZ,Coconino,80
04007,AZ,Gila,31
04009,AZ,Graham,18
04011,AZ,Greenlee,6
04012,AZ,La Paz,21
04013,AZ,Maricopa,970
04015,AZ,Mohave,91
04017,AZ,Navajo,57
04019,AZ,Pima,283
04021,AZ,Pinal,83
04023,AZ,Santa Cruz,16
04025,AZ,Yavapai,81
04027,AZ,Yuma,66
05001,AR,Arkansas,17
05003,AR,Ashley,14
05005,AR,Baxter,16
05007,AR,Benton,81
05009,AR,Boone,21
05011,AR,Bradley,5
05013,AR,Calhoun,3
05015,AR,Carroll,17
05017,AR,Chicot,9
05019,AR,Clark,10
05021,AR,Clay,8
05023,AR,Cleburne,14
05025,AR,Cleveland,5
05027,AR,Columbia,18
05029,AR,Conway,13
05031,AR,Craighead,43
05033,AR,Crawford,28
05035,AR,Crittenden,30
05037,AR,Cross,10
05039,AR,Dallas,7
05041,AR,Desha,8
05043,AR,Drew,11
05045,AR,Faulkner,52
05047,AR,Franklin,10
05049,AR,Fulton,8
05051,AR,Garland,48
05053,AR,Grant,9
05055,AR,Greene,18
05057,AR,Hempstead,15
05059,AR,Hot Spring,15
05061,AR,Howard,10
05063,AR,Independence,19
05065,AR,Izard,7
05067,AR,Jackson,11
05069,AR,Jefferson,40
05071,AR,Johnson,12
05073,AR,Lafayette,5
05075,AR,Lawrence,16
05077,AR,Lee,1
05079,AR,Lincoln,8
05081,AR,Little River,5
05083,AR,Logan,19
05085,AR,Lonoke,31
05087,AR,Madison,9
05089,AR,Marion,5
05091,AR,Miller,26
05093,AR,Mississippi,22
05095,AR,Monroe,10
05097,AR,Montgomery,5
05099,AR,Nevada,5
05101,AR,Newton,5
05103,AR,Ouachita,14
05105,AR,Perry,5
05107,AR,Phillips,16
05109,AR,Pike,7
05111,AR,Poinsett,18
05113,AR,Polk,15
05115,AR,Pope,26
05117,AR,Prairie,7
05119,AR,Pulaski,226
05121,AR,Randolph,11
05123,AR,St. Francis,20
05125,AR,Saline,37
05127,AR,Scott,4
05129,AR,Searcy,4
05131,AR,Sebastian,64
05133,AR,Sevier,14
05135,AR,Sharp,6
05137,AR,Stone,5
05139,AR,Union,32
05141,AR,Van Buren,12
05143,AR,Washington,71
05145,AR,White,42
05147,AR,Woodruff,9
05149,AR,Yell,13
06001,CA,Alameda,330
06003,CA,Alpine,0
06005,CA,Amador,12
06007,CA,Butte,74
06009,CA,Calaveras,23
06011,CA,Colusa,11
06013,CA,Contra Costa,223
06015,CA,Del Norte,4
06017,CA,El Dorado,58
06019,CA,Fresno,305
06021,CA,Glenn,16
06023,CA,Humboldt,38
06025,CA,Imperial,63
06027,CA,Inyo,16
06029,CA,Kern,284
06031,CA,Kings,43
06033,CA,Lake,31
06035,CA,Lassen,14
06037,CA,Los Angeles,1964
06039,CA,Madera,56
06041,CA,Marin,42
06043,CA,Mariposa,6
06045,CA,Mendocino,40
06047,CA,Merced,77
06049,CA,Modoc,2
06051,CA,Mono,11
06053,CA,Monterey,123
06055,CA,Napa,44
06057,CA,Nevada,36
06059,CA,Orange,657
06061,CA,Placer,132
06063,CA,Plumas,16
06065,CA,Riverside,456
06067,CA,Sacramento,384
06069,CA,San Benito,12
06071,CA,San Bernardino,481
06073,CA,San Diego,758
06075,CA,San Francisco,112
06077,CA,San Joaquin,153
06079,CA,San Luis Obispo,92
06081,CA,San Mateo,148
06083,CA,Santa Barbara,99
06085,CA,Santa Clara,364
06087,CA,Santa Cruz,65
06089,CA,Shasta,92
06091,CA,Sierra,1
06093,CA,Siskiyou,26
06095,CA,Solano,113
06097,CA,Sonoma,144
06099,CA,Stanislaus,162
06101,CA,Sutter,40
06103,CA,Tehama,30
06105,CA,Trinity,8
06107,CA,Tulare,157
06109,CA,Tuolumne,25
06111,CA,Ventura,197
06113,CA,Yolo,56
06115,CA,Yuba,23
08001,CO,Adams,125
08003,CO,Alamosa,7
08005,CO,Arapahoe,158
08007,CO,Archuleta,6
08009,CO,Baca,3
08011,CO,Bent,3
08013,CO,Boulder,75
08014,CO,Broomfield,16
08015,CO,Chaffee,17
08017,CO,Cheyenne,1
08019,CO,Clear Creek,12
08021,CO,Conejos,2
08023,CO,Costilla,4
08025,CO,Crowley,1
08027,CO,Custer,2
08029,CO,Delta,12
08031,CO,Denver,205
08033,CO,Dolores,1
08035,CO,Douglas,60
08037,CO,Eagle,18
08039,CO,Elbert,5
08041,CO,El Paso,181
08043,CO,Fremont,12
08045,CO,Garfield,28
08047,CO,Gilpin,2
08049,CO,Grand,9
08051,CO,Gunnison,5
08053,CO,Hinsdale,2
08055,CO,Huerfano,5
08057,CO,Jackson,3
08059,CO,Jefferson,156
08061,CO,Kiowa,1
08063,CO,Kit Carson,4
08065,CO,Lake,8
08067,CO,La Plata,23
08069,CO,Larimer,86
08071,CO,Las Animas,7
08073,CO,Lincoln,6
08075,CO,Logan,9
08077,CO,Mesa,48
08079,CO,Mineral,1
08081,CO,Moffat,8
08083,CO,Montezuma,15
08085,CO,Montrose,9
08087,CO,Morgan,13
08089,CO,Otero,7
08091,CO,Ouray,2
08093,CO,Park,7
08095,CO,Phillips,3
08097,CO,Pitkin,7
08099,CO,Prowers,10
08101,CO,Pueblo,66
08103,CO,Rio Blanco,5
08105,CO,Rio Grande,7
08107,CO,Routt,12
08109,CO,Saguache,4
08111,CO,San Juan,1
08113,CO,San Miguel,3
08115,CO,Sedgwick,0
08117,CO,Summit,13
08119,CO,Teller,11
08121,CO,Washington,3
08123,CO,Weld,77
08125,CO,Yuma,4
09001,CT,Fairfield,253
09003,CT,Hartford,315
09005,CT,Litchfield,77
09007,CT,Middlesex,62
09009,CT,New Haven,318
09011,CT,New London,114
09013,CT,Tolland,55
09015,CT,Windham,42
10001,DE,Kent,55
10003,DE,New Castle,173
10005,DE,Sussex,87
11001,DC,District of Columbia,201
12001,FL,Alachua,122
12003,FL,Baker,18
12005,FL,Bay,120
12007,FL,Bradford,22
12009,FL,Brevard,299
12011,FL,Broward,777
12013,FL,Calhoun,4
12015,FL,Charlotte,59
12017,FL,Citrus,68
12019,FL,Clay,76
12021,FL,Collier,101
12023,FL,Columbia,57
12027,FL,DeSoto,15
12029,FL,Dixie,8
12031,FL,Duval,462
12033,FL,Escambia,174
12035,FL,Flagler,34
12037,FL,Franklin,8
12039,FL,Gadsden,37
12041,FL,Gilchrist,7
12043,FL,Glades,5
12045,FL,Gulf,8
12047,FL,Hamilton,17
12049,FL,Hardee,17
12051,FL,Hendry,27
12053,FL,Hernando,61
12055,FL,Highlands,53
12057,FL,Hillsborough,602
12059,FL,Holmes,15
12061,FL,Indian River,70
12063,FL,Jackson,27
12065,FL,Jefferson,18
12067,FL,Lafayette,5
12069,FL,Lake,146
12071,FL,Lee,248
12073,FL,Leon,125
12075,FL,Levy,29
12077,FL,Liberty,5
12079,FL,Madison,16
12081,FL,Manatee,141
12083,FL,Marion,174
12085,FL,Martin,72
12086,FL,Miami-Dade,894
12087,FL,Monroe,59
12089,FL,Nassau,41
12091,FL,Okaloosa,104
12093,FL,Okeechobee,31
12095,FL,Orange,525
12097,FL,Osceola,115
12099,FL,Palm Beach,505
12101,FL,Pasco,193
12103,FL,Pinellas,444
12105,FL,Polk,317
12107,FL,Putnam,47
12109,FL,St. Johns,73
12111,FL,St. Lucie,115
12113,FL,Santa Rosa,55
12115,FL,Sarasota,136
12117,FL,Seminole,171
12119,FL,Sumter,38
12121,FL,Suwannee,30
12123,FL,Taylor,23
12125,FL,Union,7
12127,FL,Volusia,285
12129,FL,Wakulla,14
12131,FL,Walton,36
12133,FL,Washington,11
13001,GA,Appling,14
13003,GA,Atkinson,7
13005,GA,Bacon,12
13007,GA,Baker,0
13009,GA,Baldwin,37
13011,GA,Banks,11
13013,GA,Barrow,50
13015,GA,Bartow,73
13017,GA,Ben Hill,19
13019,GA,Berrien,13
13021,GA,Bibb,171
13023,GA,Bleckley,11
13025,GA,Brantley,13
13027,GA,Brooks,11
13029,GA,Bryan,26
13031,GA,Bulloch,52
13033,GA,Burke,18
13035,GA,Butts,25
13037,GA,Calhoun,5
13039,GA,Camden,37
13043,GA,Candler,16
13045,GA,Carroll,94
13047,GA,Catoosa,27
13049,GA,Charlton,10
13051,GA,Chatham,185
13053,GA,Chattahoochee,2
13055,GA,Chattooga,29
13057,GA,Cherokee,71
