CountyFIPS,state,county,dirsales12
01001,AL,Autauga,308
01003,AL,Baldwin,648
01005,AL,Barbour,13
01007,AL,Bibb,20
01009,AL,Blount,495
01011,AL,Bullock,58
01013,AL,Butler,131
01015,AL,Calhoun,285
01017,AL,Chambers,67
01019,AL,Cherokee,31
01021,AL,Chilton,834
01023,AL,Choctaw,26
01025,AL,Clarke,42
01027,AL,Clay,39
01029,AL,Cleburne,9
01031,AL,Coffee,103
01033,AL,Colbert,72
01035,AL,Conecuh,19
01037,AL,Coosa,28
01039,AL,Covington,67
01041,AL,Crenshaw,5
01043,AL,Cullman,269
01045,AL,Dale,41
01047,AL,Dallas,137
01049,AL,DeKalb,168
01051,AL,Elmore,130
01053,AL,Escambia,50
01055,AL,Etowah,139
01057,AL,Fayette,51
01059,AL,Franklin,48
01061,AL,Geneva,192
01063,AL,Greene,136
01065,AL,Hale,44
01067,AL,Henry,21
01069,AL,Houston,136
01071,AL,Jackson,166
01073,AL,Jefferson,61
01075,AL,Lamar,33
01077,AL,Lauderdale,167
01079,AL,Lawrence,82
01081,AL,Lee,234
01083,AL,Limestone,598
01085,AL,Lowndes,28
01087,AL,Macon,45
01089,AL,Madison,371
01091,AL,Marengo,30
01093,AL,Marion,22
01095,AL,Marshall,146
01097,AL,Mobile,573
01099,AL,Monroe,29
01101,AL,Montgomery,83
01103,AL,Morgan,204
01105,AL,Perry,18
01107,AL,Pickens,40
01109,AL,Pike,30
01111,AL,Randolph,46
01113,AL,Russell,24
01115,AL,St. Clair,196
01117,AL,Shelby,166
01119,AL,Sumter,36
01121,AL,Talladega,49
01123,AL,Tallapoosa,71
01125,AL,Tuscaloosa,156
01127,AL,Walker,503
01129,AL,Washington,20
01131,AL,Wilcox,34
01133,AL,Winston,58
02020,AK,Anchorage,946
02090,AK,Fairbanks North Star,729
02110,AK,Juneau,87
02122,AK,Kenai Peninsula,312
04001,AZ,Apache,126
04003,AZ,Cochise,1148
04005,AZ,Coconino,1037
04007,AZ,Gila,37
04009,AZ,Graham,125
04013,AZ,Maricopa,2041
04015,AZ,Mohave,219
04017,AZ,Navajo,318
04019,AZ,Pima,1316
04021,AZ,Pinal,481
04023,AZ,Santa Cruz,54
04025,AZ,Yavapai,775
04027,AZ,Yuma,198
05001,AR,Arkansas,9
05003,AR,Ashley,127
05005,AR,Baxter,75
05007,AR,Benton,291
05009,AR,Boone,170
05011,AR,Bradley,44
05015,AR,Carroll,129
05019,AR,Clark,18
05023,AR,Cleburne,16
05025,AR,Cleveland,0
05027,AR,Columbia,6
05029,AR,Conway,19
05031,AR,Craighead,87
05033,AR,Crawford,154
05035,AR,Crittenden,49
05037,AR,Cross,106
05039,AR,Dallas,9
05043,AR,Drew,32
05045,AR,Faulkner,338
05047,AR,Franklin,112
05049,AR,Fulton,178
