CountyFIPS,state,county,variable_code,value
01001,AL,Autauga,DIRSALES_FARMS12,51
01003,AL,Baldwin,DIRSALES_FARMS12,103
01005,AL,Barbour,DIRSALES_FARMS12,13
01007,AL,Bibb,DIRSALES_FARMS12,13
01009,AL,Blount,DIRSALES_FARMS12,88
01011,AL,Bullock,DIRSALES_FARMS12,12
01013,AL,Butler,DIRSALES_FARMS12,31
01015,AL,Calhoun,DIRSALES_FARMS12,50
01017,AL,Chambers,DIRSALES_FARMS12,22
01019,AL,Cherokee,DIRSALES_FARMS12,14
01021,AL,Chilton,DIRSALES_FARMS12,58
01023,AL,Choctaw,DIRSALES_FARMS12,14
01025,AL,Clarke,DIRSALES_FARMS12,18
01027,AL,Clay,DIRSALES_FARMS12,11
01029,AL,Cleburne,DIRSALES_FARMS12,14
01031,AL,Coffee,DIRSALES_FARMS12,37
01033,AL,Colbert,DIRSALES_FARMS12,26
01035,AL,Conecuh,DIRSALES_FARMS12,13
01037,AL,Coosa,DIRSALES_FARMS12,18
01039,AL,Covington,DIRSALES_FARMS12,37
01041,AL,Crenshaw,DIRSALES_FARMS12,14
01043,AL,Cullman,DIRSALES_FARMS12,74
01045,AL,Dale,DIRSALES_FARMS12,23
01047,AL,Dallas,DIRSALES_FARMS12,20
01049,AL,DeKalb,DIRSALES_FARMS12,76
01051,AL,Elmore,DIRSALES_FARMS12,40
01053,AL,Escambia,DIRSALES_FARMS12,23
01055,AL,Etowah,DIRSALES_FARMS12,45
01057,AL,Fayette,DIRSALES_FARMS12,25
01059,AL,Franklin,DIRSALES_FARMS12,24
01061,AL,Geneva,DIRSALES_FARMS12,44
01063,AL,Greene,DIRSALES_FARMS12,23
01065,AL,Hale,DIRSALES_FARMS12,20
01067,AL,Henry,DIRSALES_FARMS12,14
01069,AL,Houston,DIRSALES_FARMS12,40
01071,AL,Jackson,DIRSALES_FARMS12,71
01073,AL,Jefferson,DIRSALES_FARMS12,59
01075,AL,Lamar,DIRSALES_FARMS12,14
01077,AL,Lauderdale,DIRSALES_FARMS12,53
01079,AL,Lawrence,DIRSALES_FARMS12,41
01081,AL,Lee,DIRSALES_FARMS12,16
01083,AL,Limestone,DIRSALES_FARMS12,70
01085,AL,Lowndes,DIRSALES_FARMS12,16
01087,AL,Macon,DIRSALES_FARMS12,34
01089,AL,Madison,DIRSALES_FARMS12,79
01091,AL,Marengo,DIRSALES_FARMS12,15
01093,AL,Marion,DIRSALES_FARMS12,20
01095,AL,Marshall,DIRSALES_FARMS12,52
01097,AL,Mobile,DIRSALES_FARMS12,89
01099,AL,Monroe,DIRSALES_FARMS12,14
01101,AL,Montgomery,DIRSALES_FARMS12,28
01103,AL,Morgan,DIRSALES_FARMS12,45
01105,AL,Perry,DIRSALES_FARMS12,15
01107,AL,Pickens,DIRSALES_FARMS12,19
01109,AL,Pike,DIRSALES_FARMS12,12
01111,AL,Randolph,DIRSALES_FARMS12,19
01113,AL,Russell,DIRSALES_FARMS12,15
01115,AL,St. Clair,DIRSALES_FARMS12,30
01117,AL,Shelby,DIRSALES_FARMS12,33
01119,AL,Sumter,DIRSALES_FARMS12,16
01121,AL,Talladega,DIRSALES_FARMS12,31
01123,AL,Tallapoosa,DIRSALES_FARMS12,18
01125,AL,Tuscaloosa,DIRSALES_FARMS12,52
01127,AL,Walker,DIRSALES_FARMS12,19
01129,AL,Washington,DIRSALES_FARMS12,21
01131,AL,Wilcox,DIRSALES_FARMS12,15
01133,AL,Winston,DIRSALES_FARMS12,17
02020,AK,Anchorage,DIRSALES_FARMS12,90
02090,AK,Fairbanks North Star,DIRSALES_FARMS12,62
02110,AK,Juneau,DIRSALES_FARMS12,18
02122,AK,Kenai Peninsula,DIRSALES_FARMS12,56
04001,AZ,Apache,DIRSALES_FARMS12,130
04003,AZ,Cochise,DIRSALES_FARMS12,122
04005,AZ,Coconino,DIRSALES_FARMS12,115
04007,AZ,Gila,DIRSALES_FARMS12,17
04009,AZ,Graham,DIRSALES_FARMS12,25
04011,AZ,Greenlee,DIRSALES_FARMS12,14
04012,AZ,La Paz,DIRSALES_FARMS12,7
04013,AZ,Maricopa,DIRSALES_FARMS12,218
04015,AZ,Mohave,DIRSALES_FARMS12,48
04017,AZ,Navajo,DIRSALES_FARMS12,178
