CountyFIPS,state,county,freshveg_acres12
01005,AL,Barbour,41
01007,AL,Bibb,12
01009,AL,Blount,654
01011,AL,Bullock,70
01013,AL,Butler,100
01021,AL,Chilton,453
01023,AL,Choctaw,59
01033,AL,Colbert,58
01039,AL,Covington,55
01043,AL,Cullman,911
01051,AL,Elmore,103
01055,AL,Etowah,223
01057,AL,Fayette,92
01059,AL,Franklin,46
01061,AL,Geneva,488
01063,AL,Greene,62
01065,AL,Hale,109
01067,AL,Henry,17
01077,AL,Lauderdale,93
01079,AL,Lawrence,76
01081,AL,Lee,18
01083,AL,Limestone,75
01089,AL,Madison,89
01091,AL,Marengo,63
01093,AL,Marion,33
01095,AL,Marshall,54
01099,AL,Monroe,30
01101,AL,Montgomery,74
01105,AL,Perry,80
01109,AL,Pike,8
01113,AL,Russell,72
01115,AL,St. Clair,487
01119,AL,Sumter,67
01121,AL,Talladega,15
01123,AL,Tallapoosa,19
01125,AL,Tuscaloosa,125
01129,AL,Washington,46
01131,AL,Wilcox,72
01133,AL,Winston,24
02122,AK,Kenai Peninsula,35
04001,AZ,Apache,2201
04011,AZ,Greenlee,0
04015,AZ,Mohave,23
04017,AZ,Navajo,888
04021,AZ,Pinal,6227
04027,AZ,Yuma,95364
05003,AR,Ashley,438
05007,AR,Benton,75
05009,AR,Boone,7
05013,AR,Calhoun,13
05015,AR,Carroll,19
05025,AR,Cleveland,2
05029,AR,Conway,2
05031,AR,Craighead,61
05035,AR,Crittenden,10
05043,AR,Drew,46
05049,AR,Fulton,16
05055,AR,Greene,3
05057,AR,Hempstead,55
05059,AR,Hot Spring,28
05061,AR,Howard,4
05063,AR,Independence,34
05065,AR,Izard,29
05069,AR,Jefferson,38
05071,AR,Johnson,27
05083,AR,Logan,12
05087,AR,Madison,28
05089,AR,Marion,4
05093,AR,Mississippi,286
05095,AR,Monroe,0
05099,AR,Nevada,101
05101,AR,Newton,6
05107,AR,Phillips,28
05111,AR,Poinsett,3
05113,AR,Polk,24
05119,AR,Pulaski,205
05121,AR,Randolph,8
05123,AR,St. Francis,229
05125,AR,Saline,34
05127,AR,Scott,0
05133,AR,Sevier,0
05135,AR,Sharp,49
05139,AR,Union,49
05141,AR,Van Buren,14
06003,CA,Alpine,0
06005,CA,Amador,33
06007,CA,Butte,185
06009,CA,Calaveras,44
06011,CA,Colusa,3328
06015,CA,Del Norte,54
06017,CA,El Dorado,212
06019,CA,Fresno,66448
06023,CA,Humboldt,594
06025,CA,Imperial,105268
06029,CA,Kern,60196
06031,CA,Kings,5319
06033,CA,Lake,108
06035,CA,Lassen,630
06037,CA,Los Angeles,17410
06039,CA,Madera,3264
06041,CA,Marin,186
06043,CA,Mariposa,1
06045,CA,Mendocino,334
06047,CA,Merced,35867
06049,CA,Modoc,1420
06053,CA,Monterey,247332
06055,CA,Napa,70
06057,CA,Nevada,206
06061,CA,Placer,158
06063,CA,Plumas,26
06065,CA,Riverside,35441
06067,CA,Sacramento,1603
06069,CA,San Benito,8557
06071,CA,San Bernardino,1028
06073,CA,San Diego,1958
06075,CA,San Francisco,0
