CountyFIPS,state,county,freshveg_acrespth12
01005,AL,Barbour,1.5096285
01007,AL,Bibb,.52998853
01009,AL,Blount,11.319579
01011,AL,Bullock,6.6000376
01013,AL,Butler,4.9000392
01021,AL,Chilton,10.366844
01023,AL,Choctaw,4.3564939
01033,AL,Colbert,1.0647672
01039,AL,Covington,1.4543339
01043,AL,Cullman,11.334511
01051,AL,Elmore,1.2805848
01055,AL,Etowah,2.1393967
01057,AL,Fayette,5.4245281
01059,AL,Franklin,1.4534883
01061,AL,Geneva,18.070059
01063,AL,Greene,7.0175438
01065,AL,Hale,7.0774627
01067,AL,Henry,.98556441
01077,AL,Lauderdale,1.0034528
01079,AL,Lawrence,2.2501185
01081,AL,Lee,.12170468
01083,AL,Limestone,.85889989
01089,AL,Madison,.25970539
01091,AL,Marengo,3.0808353
01093,AL,Marion,1.0814353
01095,AL,Marshall,.57307804
01099,AL,Monroe,1.3283153
01101,AL,Montgomery,.32274103
01105,AL,Perry,7.8585463
01109,AL,Pike,.24165533
01113,AL,Russell,1.2463001
01115,AL,St. Clair,5.7186475
01119,AL,Sumter,4.9810424
01121,AL,Talladega,.18308088
01123,AL,Tallapoosa,.46157956
01125,AL,Tuscaloosa,.62958652
01129,AL,Washington,2.6877007
01131,AL,Wilcox,6.3352399
01133,AL,Winston,.99272007
02122,AK,Kenai Peninsula,.61445552
04001,AZ,Apache,30.173004
04011,AZ,Greenlee,0
04015,AZ,Mohave,.11317115
04017,AZ,Navajo,8.2965069
04021,AZ,Pinal,16.286167
04027,AZ,Yuma,471.22421
05003,AR,Ashley,20.380625
05007,AR,Benton,.32192573
05009,AR,Boone,.18752679
05013,AR,Calhoun,2.4500566
05015,AR,Carroll,.68902993
05025,AR,Cleveland,.23226106
05029,AR,Conway,.094317377
05031,AR,Craighead,.61028683
05035,AR,Crittenden,.19980019
05043,AR,Drew,2.4507191
05049,AR,Fulton,1.3063357
05055,AR,Greene,.069495924
05057,AR,Hempstead,2.4598596
05059,AR,Hot Spring,.8390016
05061,AR,Howard,.29224813
05063,AR,Independence,.92048621
05065,AR,Izard,2.1456053
05069,AR,Jefferson,.50926733
05071,AR,Johnson,1.0424308
05083,AR,Logan,.54528105
05087,AR,Madison,1.7913121
05089,AR,Marion,.2407753
05093,AR,Mississippi,6.2788143
05095,AR,Monroe,0
05099,AR,Nevada,11.338123
05101,AR,Newton,.74202323
05107,AR,Phillips,1.3492025
05111,AR,Poinsett,.12356357
05113,AR,Polk,1.1743406
05119,AR,Pulaski,.52701396
05121,AR,Randolph,.44807887
05123,AR,St. Francis,8.2084742
05125,AR,Saline,.30423695
05127,AR,Scott,0
05133,AR,Sevier,0
05135,AR,Sharp,2.8712058
05139,AR,Union,1.1989821
05141,AR,Van Buren,.81547064
06003,CA,Alpine,0
06005,CA,Amador,.88951182
06007,CA,Butte,.83632827
06009,CA,Calaveras,.9831304
06011,CA,Colusa,155.73233
06015,CA,Del Norte,1.9148257
06017,CA,El Dorado,1.1740015
06019,CA,Fresno,70.114052
06023,CA,Humboldt,4.4097013
06025,CA,Imperial,592.86877
06029,CA,Kern,70.275139
06031,CA,Kings,35.178337
06033,CA,Lake,1.6881858
06035,CA,Lassen,18.708796
06037,CA,Los Angeles,1.7461623
06039,CA,Madera,21.451103
06041,CA,Marin,.7265029
06043,CA,Mariposa,.056006722
06045,CA,Mendocino,3.8161833
06047,CA,Merced,137.00781
06049,CA,Modoc,152.14828
06053,CA,Monterey,579.99115
06055,CA,Napa,.50339794
06057,CA,Nevada,2.0958815
06061,CA,Placer,.43741262
06063,CA,Plumas,1.3453379
06065,CA,Riverside,15.629603
06067,CA,Sacramento,1.106688
06069,CA,San Benito,150.4263
06071,CA,San Bernardino,.49434343
06073,CA,San Diego,.61488062
06075,CA,San Francisco,0
06077,CA,San Joaquin,41.253719
06079,CA,San Luis Obispo,87.903206
06081,CA,San Mateo,1.6526136
06083,CA,Santa Barbara,135.83353
06085,CA,Santa Clara,4.7156439
06087,CA,Santa Cruz,64.130501
06089,CA,Shasta,.73421848
06091,CA,Sierra,0
06093,CA,Siskiyou,74.816528
06095,CA,Solano,4.5603766
06097,CA,Sonoma,2.2414854
06099,CA,Stanislaus,14.541359
06101,CA,Sutter,49.270206
06103,CA,Tehama,1.2337477
06105,CA,Trinity,4.2197218
06107,CA,Tulare,5.8774252
06111,CA,Ventura,35.916237
06113,CA,Yolo,17.504253
06115,CA,Yuba,.98703152
08001,CO,Adams,.23441163
08007,CO,Archuleta,.41274559
08009,CO,Baca,0
08013,CO,Boulder,2.6182466
08017,CO,Cheyenne,0
08019,CO,Clear Creek,0
08023,CO,Costilla,1299.9167
08027,CO,Custer,0
08033,CO,Dolores,4.5158052
08035,CO,Douglas,.046874005
08039,CO,Elbert,.17085256
08041,CO,El Paso,.026328914
08045,CO,Garfield,.15853444
08047,CO,Gilpin,0
08049,CO,Grand,0
08051,CO,Gunnison,0
08053,CO,Hinsdale,0
08055,CO,Huerfano,.45571926
08057,CO,Jackson,0
08061,CO,Kiowa,0
08063,CO,Kit Carson,.12339585
08065,CO,Lake,0
08067,CO,La Plata,.38235801
08069,CO,Larimer,4.4634533
08071,CO,Las Animas,.33420226
08073,CO,Lincoln,0
08075,CO,Logan,.22863413
08077,CO,Mesa,3.7232602
08079,CO,Mineral,0
08081,CO,Moffat,.60725671
08083,CO,Montezuma,2.3203681
08085,CO,Montrose,75.248741
08091,CO,Ouray,.43956044
08093,CO,Park,0
08095,CO,Phillips,0
08099,CO,Prowers,121.80367
08111,CO,San Juan,0
08113,CO,San Miguel,.39556962
08117,CO,Summit,0
08121,CO,Washington,0
08123,CO,Weld,36.934387
09001,CT,Fairfield,.29725054
09003,CT,Hartford,4.7751265
09005,CT,Litchfield,3.9476142
09009,CT,New Haven,1.8578087
09013,CT,Tolland,6.4040966
09015,CT,Windham,2.7895067
10001,DE,Kent,28.142544
10003,DE,New Castle,.57120782
10005,DE,Sussex,23.017853
12001,FL,Alachua,11.435656
12003,FL,Baker,5.1012864
12005,FL,Bay,.023266636
12007,FL,Bradford,2.6904507
12009,FL,Brevard,.20456807
12015,FL,Charlotte,21.138481
12019,FL,Clay,.13378546
12023,FL,Columbia,5.2274299
12031,FL,Duval,.020432279
12033,FL,Escambia,1.2327781
12037,FL,Franklin,0
12039,FL,Gadsden,18.599657
12057,FL,Hillsborough,10.209846
12059,FL,Holmes,5.8286872
12063,FL,Jackson,38.977478
12073,FL,Leon,.133874
12075,FL,Levy,32.850918
12077,FL,Liberty,0
12081,FL,Manatee,74.1689
12086,FL,Miami-Dade,10.304908
12087,FL,Monroe,0
12089,FL,Nassau,.68349952
12091,FL,Okaloosa,.36802012
12095,FL,Orange,.038253445
12099,FL,Palm Beach,44.158699
12101,FL,Pasco,.23586008
12107,FL,Putnam,42.37323
12109,FL,St. Johns,34.908848
12111,FL,St. Lucie,.07406754
