CountyFIPS,state,county,groc16
01001,AL,Autauga,3
01003,AL,Baldwin,29
01005,AL,Barbour,4
01007,AL,Bibb,5
01009,AL,Blount,5
01011,AL,Bullock,3
01013,AL,Butler,3
01015,AL,Calhoun,27
01017,AL,Chambers,7
01019,AL,Cherokee,5
01021,AL,Chilton,5
01023,AL,Choctaw,3
01025,AL,Clarke,6
01027,AL,Clay,3
01029,AL,Cleburne,2
01031,AL,Coffee,7
01033,AL,Colbert,8
01035,AL,Conecuh,1
01037,AL,Coosa,1
01039,AL,Covington,6
01041,AL,Crenshaw,4
01043,AL,Cullman,15
01045,AL,Dale,6
01047,AL,Dallas,8
01049,AL,DeKalb,16
01051,AL,Elmore,8
01053,AL,Escambia,4
01055,AL,Etowah,14
01057,AL,Fayette,4
01059,AL,Franklin,10
01061,AL,Geneva,10
01063,AL,Greene,2
01065,AL,Hale,2
01067,AL,Henry,2
01069,AL,Houston,17
01071,AL,Jackson,11
01073,AL,Jefferson,107
01075,AL,Lamar,4
01077,AL,Lauderdale,19
01079,AL,Lawrence,3
01081,AL,Lee,18
01083,AL,Limestone,10
01085,AL,Lowndes,2
01087,AL,Macon,4
01089,AL,Madison,46
01091,AL,Marengo,3
01093,AL,Marion,3
01095,AL,Marshall,22
01097,AL,Mobile,56
01099,AL,Monroe,5
01101,AL,Montgomery,34
01103,AL,Morgan,18
01105,AL,Perry,3
01107,AL,Pickens,5
01109,AL,Pike,7
01111,AL,Randolph,3
01113,AL,Russell,12
01115,AL,St. Clair,14
01117,AL,Shelby,26
01119,AL,Sumter,2
01121,AL,Talladega,8
01123,AL,Tallapoosa,6
01125,AL,Tuscaloosa,25
01127,AL,Walker,10
01129,AL,Washington,3
01131,AL,Wilcox,7
01133,AL,Winston,6
02013,AK,Aleutians East,4
02016,AK,Aleutians West,4
02020,AK,Anchorage,33
02050,AK,Bethel,23
02060,AK,Bristol Bay,2
02068,AK,Denali,1
02070,AK,Dillingham,4
02090,AK,Fairbanks North Star,7
02100,AK,Haines,3
02105,AK,Hoonah-Angoon,4
02110,AK,Juneau,4
02122,AK,Kenai Peninsula,17
02130,AK,Ketchikan Gateway,4
02150,AK,Kodiak Island,5
02164,AK,Lake and Peninsula,2
02170,AK,Matanuska-Susitna,10
02180,AK,Nome,19
02185,AK,North Slope,8
02188,AK,Northwest Arctic,8
02195,AK,Petersburg,3
02198,AK,Prince of Wales-Hyder,5
02220,AK,Sitka,4
02230,AK,Skagway,2
02240,AK,Southeast Fairbanks,4
02261,AK,Valdez-Cordova,8
02270,AK,Wade Hampton,13
02275,AK,Wrangell,3
02282,AK,Yakutat,2
02290,AK,Yukon-Koyukuk,9
04001,AZ,Apache,9
04003,AZ,Cochise,16
04005,AZ,Coconino,20
04007,AZ,Gila,6
04009,AZ,Graham,6
04011,AZ,Greenlee,2
04012,AZ,La Paz,6
04013,AZ,Maricopa,467
04015,AZ,Mohave,17
04017,AZ,Navajo,14
04019,AZ,Pima,122
04021,AZ,Pinal,31
04023,AZ,Santa Cruz,10
04025,AZ,Yavapai,29
04027,AZ,Yuma,31
05001,AR,Arkansas,3
05003,AR,Ashley,2
05005,AR,Baxter,8
05007,AR,Benton,37
05009,AR,Boone,7
05011,AR,Bradley,2
05013,AR,Calhoun,0
05015,AR,Carroll,5
05017,AR,Chicot,4
05019,AR,Clark,2
05021,AR,Clay,4
05023,AR,Cleburne,7
05025,AR,Cleveland,2
05027,AR,Columbia,3
05029,AR,Conway,4
05031,AR,Craighead,21
05033,AR,Crawford,8
05035,AR,Crittenden,9
05037,AR,Cross,3
05039,AR,Dallas,2
05041,AR,Desha,4
05043,AR,Drew,2
05045,AR,Faulkner,13
05047,AR,Franklin,2
05049,AR,Fulton,1
05051,AR,Garland,16
05053,AR,Grant,4
05055,AR,Greene,7
05057,AR,Hempstead,3
05059,AR,Hot Spring,6
05061,AR,Howard,3
05063,AR,Independence,7
05065,AR,Izard,4
05067,AR,Jackson,3
05069,AR,Jefferson,15
05071,AR,Johnson,1
05073,AR,Lafayette,1
05075,AR,Lawrence,3
05077,AR,Lee,1
05079,AR,Lincoln,1
05081,AR,Little River,2
05083,AR,Logan,2
05085,AR,Lonoke,6
05087,AR,Madison,2
05089,AR,Marion,3
05091,AR,Miller,7
05093,AR,Mississippi,10
05095,AR,Monroe,3
05097,AR,Montgomery,1
05099,AR,Nevada,1
05101,AR,Newton,2
05103,AR,Ouachita,5
05105,AR,Perry,2
05107,AR,Phillips,6
05109,AR,Pike,4
05111,AR,Poinsett,5
05113,AR,Polk,3
05115,AR,Pope,8
05117,AR,Prairie,3
05119,AR,Pulaski,57
05121,AR,Randolph,3
05123,AR,St. Francis,6
05125,AR,Saline,12
05127,AR,Scott,3
05129,AR,Searcy,2
05131,AR,Sebastian,18
05133,AR,Sevier,5
05135,AR,Sharp,3
05137,AR,Stone,2
05139,AR,Union,6
05141,AR,Van Buren,2
05143,AR,Washington,39
05145,AR,White,11
05147,AR,Woodruff,3
05149,AR,Yell,3
06001,CA,Alameda,372
06003,CA,Alpine,0
06005,CA,Amador,13
06007,CA,Butte,45
06009,CA,Calaveras,11
06011,CA,Colusa,10
06013,CA,Contra Costa,200
06015,CA,Del Norte,6
06017,CA,El Dorado,32
06019,CA,Fresno,257
06021,CA,Glenn,8
06023,CA,Humboldt,48
06025,CA,Imperial,35
06027,CA,Inyo,5
06029,CA,Kern,187
06031,CA,Kings,28
06033,CA,Lake,24
06035,CA,Lassen,7
06037,CA,Los Angeles,1980
06039,CA,Madera,38
06041,CA,Marin,70
06043,CA,Mariposa,5
06045,CA,Mendocino,46
06047,CA,Merced,68
06049,CA,Modoc,4
06051,CA,Mono,6
06053,CA,Monterey,112
06055,CA,Napa,40
06057,CA,Nevada,25
06059,CA,Orange,496
06061,CA,Placer,64
06063,CA,Plumas,9
06065,CA,Riverside,349
06067,CA,Sacramento,275
06069,CA,San Benito,9
06071,CA,San Bernardino,309
06073,CA,San Diego,579
06075,CA,San Francisco,358
06077,CA,San Joaquin,160
06079,CA,San Luis Obispo,69
06081,CA,San Mateo,182
06083,CA,Santa Barbara,120
06085,CA,Santa Clara,348
06087,CA,Santa Cruz,71
06089,CA,Shasta,35
06091,CA,Sierra,1
06093,CA,Siskiyou,19
06095,CA,Solano,72
06097,CA,Sonoma,140
06099,CA,Stanislaus,131
06101,CA,Sutter,21
06103,CA,Tehama,10
06105,CA,Trinity,9
06107,CA,Tulare,119
06109,CA,Tuolumne,16
06111,CA,Ventura,167
06113,CA,Yolo,44
06115,CA,Yuba,10
08001,CO,Adams,63
08003,CO,Alamosa,4
08005,CO,Arapahoe,95
08007,CO,Archuleta,3
08009,CO,Baca,1
08011,CO,Bent,2
08013,CO,Boulder,61
08014,CO,Broomfield,6
08015,CO,Chaffee,7
08017,CO,Cheyenne,2
08019,CO,Clear Creek,1
08021,CO,Conejos,3
08023,CO,Costilla,2
08025,CO,Crowley,1
08027,CO,Custer,2
08029,CO,Delta,7
08031,CO,Denver,117
08033,CO,Dolores,1
08035,CO,Douglas,25
08037,CO,Eagle,17
08039,CO,Elbert,1
08041,CO,El Paso,61
08043,CO,Fremont,5
08045,CO,Garfield,10
08047,CO,Gilpin,0
08049,CO,Grand,5
08051,CO,Gunnison,5
08053,CO,Hinsdale,2
08055,CO,Huerfano,4
08057,CO,Jackson,2
08059,CO,Jefferson,61
