CountyFIPS,state,county,grocpth16
01001,AL,Autauga,.054271098
01003,AL,Baldwin,.13975297
01005,AL,Barbour,.15519516
01007,AL,Bibb,.22091636
01009,AL,Blount,.086862862
01011,AL,Bullock,.28732881
01013,AL,Butler,.15026297
01015,AL,Calhoun,.23482345
01017,AL,Chambers,.2076104
01019,AL,Cherokee,.19405419
01021,AL,Chilton,.11407711
01023,AL,Choctaw,.22988506
01025,AL,Clarke,.24640657
01027,AL,Clay,.22371365
01029,AL,Cleburne,.13447186
01031,AL,Coffee,.13667338
01033,AL,Colbert,.14725643
01035,AL,Conecuh,.079904117
01037,AL,Coosa,.092515498
01039,AL,Covington,.16048789
01041,AL,Crenshaw,.28762493
01043,AL,Cullman,.18221131
01045,AL,Dale,.12188186
01047,AL,Dallas,.19959582
01049,AL,DeKalb,.22466861
01051,AL,Elmore,.098473661
01053,AL,Escambia,.10673498
01055,AL,Etowah,.13628487
01057,AL,Fayette,.24186721
01059,AL,Franklin,.31668618
01061,AL,Geneva,.37713078
01063,AL,Greene,.23562677
01065,AL,Hale,.13470735
01067,AL,Henry,.1170138
01069,AL,Houston,.16319008
01071,AL,Jackson,.21133931
01073,AL,Jefferson,.16218339
01075,AL,Lamar,.2867589
01077,AL,Lauderdale,.20580812
01079,AL,Lawrence,.090274431
01081,AL,Lee,.11321965
01083,AL,Limestone,.10761946
01085,AL,Lowndes,.19529343
01087,AL,Macon,.20973155
01089,AL,Madison,.12910034
01091,AL,Marengo,.15380672
01093,AL,Marion,.10026067
01095,AL,Marshall,.23147418
01097,AL,Mobile,.13498791
01099,AL,Monroe,.23178194
01101,AL,Montgomery,.14996736
01103,AL,Morgan,.15149093
01105,AL,Perry,.31347963
01107,AL,Pickens,.24612355
01109,AL,Pike,.21074815
01111,AL,Randolph,.13334519
01113,AL,Russell,.20626707
01115,AL,St. Clair,.16003293
01117,AL,Shelby,.12318013
01119,AL,Sumter,.15465511
01121,AL,Talladega,.099519819
01123,AL,Tallapoosa,.14787795
01125,AL,Tuscaloosa,.12119332
01127,AL,Walker,.15489227
01129,AL,Washington,.18022348
01131,AL,Wilcox,.64367819
01133,AL,Winston,.25118265
02013,AK,Aleutians East,1.2033694
02016,AK,Aleutians West,.6960153
02020,AK,Anchorage,.11097062
02050,AK,Bethel,1.2791991
02060,AK,Bristol Bay,2.2099447
02068,AK,Denali,.48899755
02070,AK,Dillingham,.80385852
02090,AK,Fairbanks North Star,.069581121
02100,AK,Haines,1.1853023
02105,AK,Hoonah-Angoon,0
02110,AK,Juneau,.12343774
02122,AK,Kenai Peninsula,.29038486
02130,AK,Ketchikan Gateway,.29139653
02150,AK,Kodiak Island,.36552379
02164,AK,Lake and Peninsula,1.2484394
02170,AK,Matanuska-Susitna,.096040256
02180,AK,Nome,1.9162885
02185,AK,North Slope,.82601964
02188,AK,Northwest Arctic,1.0441138
02195,AK,Petersburg,0
02198,AK,Prince of Wales-Hyder,0
02220,AK,Sitka,.45620438
02230,AK,Skagway,0
02240,AK,Southeast Fairbanks,.5847953
02261,AK,Valdez-Cordova,.85653102
02270,AK,Wade Hampton,0
02275,AK,Wrangell,0
02282,AK,Yakutat,3.2679739
02290,AK,Yukon-Koyukuk,1.6629711
04001,AZ,Apache,.12609811
04003,AZ,Cochise,.12763751
04005,AZ,Coconino,.14277658
04007,AZ,Gila,.11257669
04009,AZ,Graham,.15886885
04011,AZ,Greenlee,.20783539
04012,AZ,La Paz,.29235491
04013,AZ,Maricopa,.11031367
04015,AZ,Mohave,.082771383
04017,AZ,Navajo,.12924428
04019,AZ,Pima,.12049156
04021,AZ,Pinal,.074678101
04023,AZ,Santa Cruz,.21703744
04025,AZ,Yavapai,.12925482
04027,AZ,Yuma,.15087874
05001,AR,Arkansas,.16469942
05003,AR,Ashley,.097570494
05005,AR,Baxter,.19443431
05007,AR,Benton,.1430206
05009,AR,Boone,.18821758
05011,AR,Bradley,.18216595
05013,AR,Calhoun,0
05015,AR,Carroll,.18032314
05017,AR,Chicot,.36656892
05019,AR,Clark,.088691793
05021,AR,Clay,.26565716
05023,AR,Cleburne,.27823046
05025,AR,Cleveland,.24213076
05027,AR,Columbia,.1250886
05029,AR,Conway,.19143336
05031,AR,Craighead,.19852336
05033,AR,Crawford,.12849548
05035,AR,Crittenden,.18248175
05037,AR,Cross,.17608733
05039,AR,Dallas,.26917902
05041,AR,Desha,.33557048
05043,AR,Drew,.10736526
05045,AR,Faulkner,.10648493
05047,AR,Franklin,.11317979
05049,AR,Fulton,.083063379
05051,AR,Garland,.16288137
05053,AR,Grant,.22106776
05055,AR,Greene,.15654702
05057,AR,Hempstead,.13620266
05059,AR,Hot Spring,.17939365
05061,AR,Howard,.22324751
05063,AR,Independence,.18870977
05065,AR,Izard,.29651594
05067,AR,Jackson,.17332023
05069,AR,Jefferson,.21324387
05071,AR,Johnson,.038131598
05073,AR,Lafayette,.1443418
05075,AR,Lawrence,.1802993
05077,AR,Lee,.10683761
05079,AR,Lincoln,.072411299
05081,AR,Little River,.16090104
05083,AR,Logan,.092110716
05085,AR,Lonoke,.083615534
05087,AR,Madison,.12418503
05089,AR,Marion,.18327326
05091,AR,Miller,.15954779
05093,AR,Mississippi,.23318176
05095,AR,Monroe,.41465101
05097,AR,Montgomery,.11174433
05099,AR,Nevada,.11941724
05101,AR,Newton,.25416189
05103,AR,Ouachita,.20816854
05105,AR,Perry,.1946851
05107,AR,Phillips,.31496063
