CountyFIPS,state,county,laccess_pop15
01001,AL,Autauga,17496.693
01003,AL,Baldwin,30561.264
01005,AL,Barbour,6069.5234
01007,AL,Bibb,969.37885
01009,AL,Blount,3724.4282
01011,AL,Bullock,4141.9004
01013,AL,Butler,1304.3287
01015,AL,Calhoun,27785.986
01017,AL,Chambers,7131.5059
01019,AL,Cherokee,103.5225
01021,AL,Chilton,1469.8992
01023,AL,Choctaw,2702.8953
01025,AL,Clarke,5712.9263
01027,AL,Clay,642.74091
01029,AL,Cleburne,789.53516
01031,AL,Coffee,10486.086
01033,AL,Colbert,11095.666
01035,AL,Conecuh,3558.3594
01037,AL,Coosa,2828.9304
01039,AL,Covington,3769.1223
01041,AL,Crenshaw,5278.9663
01043,AL,Cullman,5900.27
01045,AL,Dale,14036.97
01047,AL,Dallas,7640.0566
01049,AL,DeKalb,2679.8528
01051,AL,Elmore,15064.366
01053,AL,Escambia,5058.7754
01055,AL,Etowah,23289.826
01057,AL,Fayette,407.38675
01059,AL,Franklin,3663.4417
01061,AL,Geneva,605.19342
01063,AL,Greene,2962.991
01065,AL,Hale,1864.5414
01067,AL,Henry,805.47241
01069,AL,Houston,18340.75
01071,AL,Jackson,4218.9668
01073,AL,Jefferson,205657.88
01075,AL,Lamar,229.95261
01077,AL,Lauderdale,12476.097
01079,AL,Lawrence,1648.2444
01081,AL,Lee,36835.887
01083,AL,Limestone,9339.4219
01085,AL,Lowndes,2539.8645
01087,AL,Macon,8050.7793
01089,AL,Madison,88544.031
01091,AL,Marengo,5125.0059
01093,AL,Marion,1929.4318
01095,AL,Marshall,10484.799
01097,AL,Mobile,103768.64
01099,AL,Monroe,5711.6406
01101,AL,Montgomery,66180.656
01103,AL,Morgan,15514.279
01105,AL,Perry,881.5495
01107,AL,Pickens,529.13861
01109,AL,Pike,4535.4971
01111,AL,Randolph,3374.6294
01113,AL,Russell,6225.8555
01115,AL,St. Clair,4561.8403
01117,AL,Shelby,47122.32
01119,AL,Sumter,2304.5254
01121,AL,Talladega,11038.388
01123,AL,Tallapoosa,3484.731
01125,AL,Tuscaloosa,34859.582
01127,AL,Walker,7858.6597
01129,AL,Washington,1478.897
01131,AL,Wilcox,4997.1284
01133,AL,Winston,1459.0327
02013,AK,Aleutians East,2203
02016,AK,Aleutians West,1243.229
02020,AK,Anchorage,80039.727
02050,AK,Bethel,11504.863
02060,AK,Bristol Bay,997
02068,AK,Denali,1826
02070,AK,Dillingham,2461.5098
02090,AK,Fairbanks North Star,33612.383
02100,AK,Haines,518.89417
02105,AK,Hoonah-Angoon,2136.9048
02110,AK,Juneau,10062.673
02122,AK,Kenai Peninsula,10888.785
02130,AK,Ketchikan Gateway,1062.5989
02150,AK,Kodiak Island,1948.6592
02164,AK,Lake and Peninsula,1628.6857
02170,AK,Matanuska-Susitna,23011.256
02180,AK,Nome,5276.0078
02185,AK,North Slope,5522.1821
02188,AK,Northwest Arctic,4322.063
02195,AK,Petersburg,180.23055
02198,AK,Prince of Wales-Hyder,1758.7926
02220,AK,Sitka,1632.2498
02230,AK,Skagway,2.9999537
02240,AK,Southeast Fairbanks,3323.0845
02261,AK,Valdez-Cordova,5010.7109
02270,AK,Wade Hampton,4615
02275,AK,Wrangell,510.62442
02282,AK,Yakutat,662
02290,AK,Yukon-Koyukuk,5588
04001,AZ,Apache,50446.813
04003,AZ,Cochise,55218.539
04005,AZ,Coconino,41435.555
04007,AZ,Gila,17451.066
04009,AZ,Graham,13894.463
04011,AZ,Greenlee,5895.5591
04012,AZ,La Paz,8846.8613
04013,AZ,Maricopa,511215.56
04015,AZ,Mohave,88341.578
04017,AZ,Navajo,41411.324
04019,AZ,Pima,218481.73
04021,AZ,Pinal,80761.852
04023,AZ,Santa Cruz,12583.423
04025,AZ,Yavapai,68596.938
04027,AZ,Yuma,39776.527
05001,AR,Arkansas,7183.7129
05003,AR,Ashley,4633.9102
05005,AR,Baxter,4618.0303
05007,AR,Benton,34546.621
05009,AR,Boone,8411.7842
05011,AR,Bradley,1240.0083
05013,AR,Calhoun,3493.5281
05015,AR,Carroll,1943.2711
05017,AR,Chicot,7115.7207
05019,AR,Clark,9423.2393
05021,AR,Clay,1645.7283
05023,AR,Cleburne,2341.7925
05025,AR,Cleveland,1838.8868
05027,AR,Columbia,4236.8711
05029,AR,Conway,3553.4351
05031,AR,Craighead,15955.202
05033,AR,Crawford,10484.376
05035,AR,Crittenden,6476.8809
05037,AR,Cross,2383.0928
05039,AR,Dallas,3353.8545
05041,AR,Desha,4559.4731
05043,AR,Drew,3989.4543
05045,AR,Faulkner,18908.547
05047,AR,Franklin,1180.1639
05049,AR,Fulton,2343.4209
05051,AR,Garland,27118.393
05053,AR,Grant,2119.1282
