CountyFIPS,state,county,pct_laccess_pop15
01001,AL,Autauga,32.062256
01003,AL,Baldwin,16.767488
01005,AL,Barbour,22.10556
01007,AL,Bibb,4.2303243
01009,AL,Blount,6.4973803
01011,AL,Bullock,37.950344
01013,AL,Butler,6.2268047
01015,AL,Calhoun,23.433851
01017,AL,Chambers,20.843214
01019,AL,Cherokee,.39833197
01021,AL,Chilton,3.3680065
01023,AL,Choctaw,19.502815
01025,AL,Clarke,22.11484
01027,AL,Clay,4.6134148
01029,AL,Cleburne,5.2734113
01031,AL,Coffee,20.994005
01033,AL,Colbert,20.385952
01035,AL,Conecuh,26.900208
01037,AL,Coosa,24.516253
01039,AL,Covington,9.980464
01041,AL,Crenshaw,37.961788
01043,AL,Cullman,7.3380971
01045,AL,Dale,27.933714
01047,AL,Dallas,17.435091
01049,AL,DeKalb,3.7686546
01051,AL,Elmore,18.99596
01053,AL,Escambia,13.201742
01055,AL,Etowah,22.301855
01057,AL,Fayette,2.3628953
01059,AL,Franklin,11.55514
01061,AL,Geneva,2.2590272
01063,AL,Greene,32.758331
01065,AL,Hale,11.830846
01067,AL,Henry,4.6553717
01069,AL,Houston,18.06134
01071,AL,Jackson,7.9263659
01073,AL,Jefferson,31.232876
01075,AL,Lamar,1.5789111
01077,AL,Lauderdale,13.457266
01079,AL,Lawrence,4.7999196
01081,AL,Lee,26.265009
01083,AL,Limestone,11.281947
01085,AL,Lowndes,22.478664
01087,AL,Macon,37.52927
01089,AL,Madison,26.445974
01091,AL,Marengo,24.373451
01093,AL,Marion,6.2692738
01095,AL,Marshall,11.271674
01097,AL,Mobile,25.126066
01099,AL,Monroe,24.760017
01101,AL,Montgomery,28.854111
01103,AL,Morgan,12.983747
01105,AL,Perry,8.3235712
01107,AL,Pickens,2.6797256
01109,AL,Pike,13.786124
01111,AL,Randolph,14.728012
01113,AL,Russell,11.758657
01115,AL,St. Clair,5.4572034
01117,AL,Shelby,24.154762
01119,AL,Sumter,16.744354
01121,AL,Talladega,13.413845
01123,AL,Tallapoosa,8.3735361
01125,AL,Tuscaloosa,17.9083
01127,AL,Walker,11.725318
01129,AL,Washington,8.4119043
01131,AL,Wilcox,42.820297
01133,AL,Winston,5.9591269
02013,AK,Aleutians East,70.136902
02016,AK,Aleutians West,22.356215
02020,AK,Anchorage,27.427208
02050,AK,Bethel,67.623955
02060,AK,Bristol Bay,100
02068,AK,Denali,100
02070,AK,Dillingham,50.784191
02090,AK,Fairbanks North Star,34.445625
02100,AK,Haines,20.689558
02105,AK,Hoonah-Angoon,99.390923
02110,AK,Juneau,32.174812
02122,AK,Kenai Peninsula,19.654846
02130,AK,Ketchikan Gateway,7.8845358
02150,AK,Kodiak Island,14.33681
02164,AK,Lake and Peninsula,99.858101
02170,AK,Matanuska-Susitna,25.856796
02180,AK,Nome,55.583729
02185,AK,North Slope,58.559727
02188,AK,Northwest Arctic,57.451321
02195,AK,Petersburg,4.7242608
02198,AK,Prince of Wales-Hyder,31.638651
02220,AK,Sitka,18.379122
02230,AK,Skagway,.30991259
02240,AK,Southeast Fairbanks,47.276775
02261,AK,Valdez-Cordova,51.999905
02270,AK,Wade Hampton,61.871563
02275,AK,Wrangell,21.55443
02282,AK,Yakutat,100
02290,AK,Yukon-Koyukuk,100
04001,AZ,Apache,70.537224
04003,AZ,Cochise,42.04052
04005,AZ,Coconino,30.825209
04007,AZ,Gila,32.55978
04009,AZ,Graham,37.330635
04011,AZ,Greenlee,69.877434
04012,AZ,La Paz,43.178593
04013,AZ,Maricopa,13.392715
04015,AZ,Mohave,44.129749
04017,AZ,Navajo,38.540447
04019,AZ,Pima,22.288073
04021,AZ,Pinal,21.492363
04023,AZ,Santa Cruz,26.53611
04025,AZ,Yavapai,32.505314
04027,AZ,Yuma,20.319962
05001,AR,Arkansas,37.771244
05003,AR,Ashley,21.204916
05005,AR,Baxter,11.124299
05007,AR,Benton,15.608013
05009,AR,Boone,22.794312
05011,AR,Bradley,10.775186
05013,AR,Calhoun,65.080627
05015,AR,Carroll,7.0803437
05017,AR,Chicot,60.302715
05019,AR,Clark,40.979515
05021,AR,Clay,10.232719
05023,AR,Cleburne,9.0172987
05025,AR,Cleveland,21.163389
05027,AR,Columbia,17.256723
05029,AR,Conway,16.703968
05031,AR,Craighead,16.543661
05033,AR,Crawford,16.924479
05035,AR,Crittenden,12.724216
05037,AR,Cross,13.335717
05039,AR,Dallas,41.323982
05041,AR,Desha,35.0513
05043,AR,Drew,21.554132
05045,AR,Faulkner,16.698206
05047,AR,Franklin,6.5112495
05049,AR,Fulton,19.137777
05051,AR,Garland,28.241264
05053,AR,Grant,11.869872
05055,AR,Greene,22.857355
05057,AR,Hempstead,29.109783
05059,AR,Hot Spring,15.690953
05061,AR,Howard,41.168217
05063,AR,Independence,15.180713
05065,AR,Izard,1.1012197
05067,AR,Jackson,17.268795
05069,AR,Jefferson,18.830479
05071,AR,Johnson,5.8838897
05073,AR,Lafayette,21.137194
05075,AR,Lawrence,29.990273
05077,AR,Lee,45.302452
05079,AR,Lincoln,33.21273
05081,AR,Little River,14.538669
05083,AR,Logan,9.2602539
05085,AR,Lonoke,17.959637
05087,AR,Madison,24.263527
05089,AR,Marion,13.543365
05091,AR,Miller,33.428913
05093,AR,Mississippi,12.613939
05095,AR,Monroe,12.519912
05097,AR,Montgomery,22.228661
05099,AR,Nevada,29.253
05101,AR,Newton,43.854443
05103,AR,Ouachita,25.868574
05105,AR,Perry,14.272346
05107,AR,Phillips,50.377335
05109,AR,Pike,23.05732
05111,AR,Poinsett,34.024033
05113,AR,Polk,38.426037
05115,AR,Pope,13.593736
05117,AR,Prairie,37.028843
05119,AR,Pulaski,26.607391
05121,AR,Randolph,32.070091
05123,AR,St. Francis,27.108206
05125,AR,Saline,22.324257
05127,AR,Scott,17.295982
05129,AR,Searcy,33.643837
05131,AR,Sebastian,10.274245
05133,AR,Sevier,23.459167
05135,AR,Sharp,22.465225
05137,AR,Stone,25.140501
05139,AR,Union,26.282671
05141,AR,Van Buren,10.262684
05143,AR,Washington,14.549072
05145,AR,White,12.263143
05147,AR,Woodruff,5.2586808
05149,AR,Yell,12.873576
06001,CA,Alameda,7.1486773
06003,CA,Alpine,48.950008
06005,CA,Amador,14.013427
06007,CA,Butte,21.181065
06009,CA,Calaveras,10.044894
06011,CA,Colusa,8.2682819
06013,CA,Contra Costa,19.101011
06015,CA,Del Norte,32.038235
06017,CA,El Dorado,29.109709
06019,CA,Fresno,9.1874228
06021,CA,Glenn,9.0241795
06023,CA,Humboldt,15.672567
06025,CA,Imperial,17.542183
06027,CA,Inyo,41.128281
06029,CA,Kern,14.541769
06031,CA,Kings,19.268507
06033,CA,Lake,18.738466
06035,CA,Lassen,49.067223
06037,CA,Los Angeles,6.3412819
06039,CA,Madera,20.86425
06041,CA,Marin,11.960181
06043,CA,Mariposa,17.499407
06045,CA,Mendocino,17.366148
06047,CA,Merced,15.667935
06049,CA,Modoc,26.540262
06051,CA,Mono,49.766964
06053,CA,Monterey,12.323159
06055,CA,Napa,10.140218
06057,CA,Nevada,27.033978
06059,CA,Orange,6.5101671
06061,CA,Placer,15.560766
06063,CA,Plumas,8.10956
06065,CA,Riverside,19.996393
06067,CA,Sacramento,13.652828
06069,CA,San Benito,17.66935
06071,CA,San Bernardino,21.282984
06073,CA,San Diego,13.704943
06075,CA,San Francisco,.55557722
06077,CA,San Joaquin,12.64943
06079,CA,San Luis Obispo,15.678895
06081,CA,San Mateo,9.6719952
06083,CA,Santa Barbara,13.587697
06085,CA,Santa Clara,7.4609919
06087,CA,Santa Cruz,14.048826
06089,CA,Shasta,23.289942
06091,CA,Sierra,88.366562
06093,CA,Siskiyou,19.798923
06095,CA,Solano,17.500834
06097,CA,Sonoma,15.436481
06099,CA,Stanislaus,11.744432
06101,CA,Sutter,33.309963
06103,CA,Tehama,20.081411
06105,CA,Trinity,17.338234
06107,CA,Tulare,13.496858
06109,CA,Tuolumne,29.094427
06111,CA,Ventura,15.889028
06113,CA,Yolo,6.1620679
06115,CA,Yuba,20.780846
08001,CO,Adams,15.148383
08003,CO,Alamosa,5.9254532
08005,CO,Arapahoe,12.147082
08007,CO,Archuleta,29.79892
08009,CO,Baca,25.217119
08011,CO,Bent,25.862612
08013,CO,Boulder,14.647696
08014,CO,Broomfield,29.785004
08015,CO,Chaffee,10.010793
08017,CO,Cheyenne,33.859055
08019,CO,Clear Creek,13.893138
08021,CO,Conejos,5.617444
08023,CO,Costilla,99.943451
08025,CO,Crowley,7.8908629
08027,CO,Custer,25.885721
08029,CO,Delta,8.4400826
08031,CO,Denver,9.2103195
08033,CO,Dolores,100
08035,CO,Douglas,19.155186
08037,CO,Eagle,15.437566
08039,CO,Elbert,25.92968
08041,CO,El Paso,27.058268
08043,CO,Fremont,34.528961
08045,CO,Garfield,15.310161
08047,CO,Gilpin,0
08049,CO,Grand,2.8426125
08051,CO,Gunnison,12.000078
08053,CO,Hinsdale,11.775975
08055,CO,Huerfano,36.653519
08057,CO,Jackson,27.420019
08059,CO,Jefferson,22.758381
08061,CO,Kiowa,100
08063,CO,Kit Carson,11.1372
08065,CO,Lake,19.915272
08067,CO,La Plata,14.312578
08069,CO,Larimer,18.89933
08071,CO,Las Animas,39.864429
08073,CO,Lincoln,22.801384
08075,CO,Logan,19.541695
08077,CO,Mesa,31.456789
08079,CO,Mineral,12.796659
08081,CO,Moffat,23.416014
08083,CO,Montezuma,16.432907
08085,CO,Montrose,20.511667
08087,CO,Morgan,11.982312
08089,CO,Otero,29.620602
08091,CO,Ouray,6.1649919
08093,CO,Park,53.863197
08095,CO,Phillips,4.7134333
08097,CO,Pitkin,9.1467419
08099,CO,Prowers,23.881933
08101,CO,Pueblo,36.875793
08103,CO,Rio Blanco,8.5842676
08105,CO,Rio Grande,12.187453
08107,CO,Routt,22.349424
08109,CO,Saguache,20.226927
08111,CO,San Juan,99.242813
08113,CO,San Miguel,9.7661829
08115,CO,Sedgwick,18.56662
08117,CO,Summit,18.485407
08119,CO,Teller,12.863822
08121,CO,Washington,51.620869
08123,CO,Weld,14.673685
08125,CO,Yuma,22.906981
09001,CT,Fairfield,29.314962
09003,CT,Hartford,28.991604
09005,CT,Litchfield,18.247623
09007,CT,Middlesex,31.460337
09009,CT,New Haven,28.749418
09011,CT,New London,36.134182
09013,CT,Tolland,34.931152
09015,CT,Windham,15.881736
10001,DE,Kent,15.755919
10003,DE,New Castle,22.686806
10005,DE,Sussex,14.024768
11001,DC,District of Columbia,2.1086581
12001,FL,Alachua,15.227938
12003,FL,Baker,33.127098
12005,FL,Bay,33.347832
12007,FL,Bradford,5.5388603
12009,FL,Brevard,40.248707
12011,FL,Broward,9.0666904
12013,FL,Calhoun,18.023092
12015,FL,Charlotte,41.814171
12017,FL,Citrus,31.072985
12019,FL,Clay,24.350372
12021,FL,Collier,28.177639
12023,FL,Columbia,16.403898
12027,FL,DeSoto,9.9098597
12029,FL,Dixie,9.0383997
12031,FL,Duval,24.718662
12033,FL,Escambia,36.49704
12035,FL,Flagler,34.527302
12037,FL,Franklin,2.4888299
