CountyFIPS,state,county,snaps17
01001,AL,Autauga,44.666668
01003,AL,Baldwin,189.41667
01005,AL,Barbour,36
01007,AL,Bibb,18.166666
01009,AL,Blount,40.166668
01011,AL,Bullock,10.166667
01013,AL,Butler,24.916666
01015,AL,Calhoun,136
01017,AL,Chambers,35.666668
01019,AL,Cherokee,27.416666
01021,AL,Chilton,42.5
01023,AL,Choctaw,14.416667
01025,AL,Clarke,36.166668
01027,AL,Clay,11.166667
01029,AL,Cleburne,12.166667
01031,AL,Coffee,42.666668
01033,AL,Colbert,63
01035,AL,Conecuh,15.833333
01037,AL,Coosa,7
01039,AL,Covington,54.083332
01041,AL,Crenshaw,19.833334
01043,AL,Cullman,74.083336
01045,AL,Dale,51.333332
01047,AL,Dallas,43.666668
01049,AL,DeKalb,81.916664
01051,AL,Elmore,66.833336
01053,AL,Escambia,42.083332
01055,AL,Etowah,108.5
01057,AL,Fayette,14
01059,AL,Franklin,33.083332
01061,AL,Geneva,31.583334
01063,AL,Greene,14.833333
01065,AL,Hale,14.25
01067,AL,Henry,12.583333
01069,AL,Houston,136.66667
01071,AL,Jackson,49.25
01073,AL,Jefferson,569.41669
01075,AL,Lamar,13.333333
01077,AL,Lauderdale,93.083336
01079,AL,Lawrence,27.25
01081,AL,Lee,100.5
01083,AL,Limestone,67.833336
01085,AL,Lowndes,13.25
01087,AL,Macon,18
01089,AL,Madison,263.16666
01091,AL,Marengo,22.833334
01093,AL,Marion,22.666666
01095,AL,Marshall,100.66666
01097,AL,Mobile,484.25
01099,AL,Monroe,26.666666
01101,AL,Montgomery,213.58333
01103,AL,Morgan,118
01105,AL,Perry,11.083333
01107,AL,Pickens,24.666666
01109,AL,Pike,37.583332
01111,AL,Randolph,20.583334
01113,AL,Russell,62.083332
01115,AL,St. Clair,74.083336
01117,AL,Shelby,124.75
01119,AL,Sumter,19.916666
01121,AL,Talladega,95.583336
01123,AL,Tallapoosa,41.75
01125,AL,Tuscaloosa,163.33333
01127,AL,Walker,72.833336
01129,AL,Washington,16.666666
01131,AL,Wilcox,19.083334
01133,AL,Winston,25
02013,AK,Aleutians East,5
02016,AK,Aleutians West,3.8333333
02020,AK,Anchorage,117.41666
02050,AK,Bethel,51.583332
02060,AK,Bristol Bay,2
02068,AK,Denali,.083333336
02070,AK,Dillingham,8
02090,AK,Fairbanks North Star,25.833334
02100,AK,Haines,3
02110,AK,Juneau,12
02122,AK,Kenai Peninsula,36.583332
02130,AK,Ketchikan Gateway,11
02150,AK,Kodiak Island,8.583333
02164,AK,Lake and Peninsula,9
02170,AK,Matanuska-Susitna,39
02180,AK,Nome,24.916666
02185,AK,North Slope,11.916667
02188,AK,Northwest Arctic,20.5
02195,AK,Petersburg,1
02198,AK,Prince of Wales-Hyder,2
02220,AK,Sitka,3.0833333
02240,AK,Southeast Fairbanks,5.9166665
02261,AK,Valdez-Cordova,14.25
02282,AK,Yakutat,2
02290,AK,Yukon-Koyukuk,31.666666
04001,AZ,Apache,46
04003,AZ,Cochise,93.5
04005,AZ,Coconino,93.083336
04007,AZ,Gila,44.75
04009,AZ,Graham,24.416666
04011,AZ,Greenlee,10.083333
04012,AZ,La Paz,35.083332
04013,AZ,Maricopa,2072.5
