CountyFIPS,state,county,snapspth17
01001,AL,Autauga,.80474681
01003,AL,Baldwin,.89083594
01005,AL,Barbour,1.4246142
01007,AL,Bibb,.80142343
01009,AL,Blount,.69237357
01011,AL,Bullock,.9861933
01013,AL,Butler,1.2568306
01015,AL,Calhoun,1.1854124
01017,AL,Chambers,1.0579499
01019,AL,Cherokee,1.0603189
01021,AL,Chilton,.96444052
01023,AL,Choctaw,1.1136861
01025,AL,Clarke,1.5017509
01027,AL,Clay,.83539063
01029,AL,Cleburne,.81655478
01031,AL,Coffee,.82250583
01033,AL,Colbert,1.1559633
01035,AL,Conecuh,1.2698158
01037,AL,Coosa,.65092057
01039,AL,Covington,1.4580863
01041,AL,Crenshaw,1.4298416
01043,AL,Cullman,.89521277
01045,AL,Dale,1.0428094
01047,AL,Dallas,1.1135194
01049,AL,DeKalb,1.143816
01051,AL,Elmore,.81826383
01053,AL,Escambia,1.1238105
01055,AL,Etowah,1.0559096
01057,AL,Fayette,.8501336
01059,AL,Franklin,1.0504313
01061,AL,Geneva,1.1953875
01063,AL,Greene,1.7807122
01065,AL,Hale,.96205777
01067,AL,Henry,.73385042
01069,AL,Houston,1.3097452
01071,AL,Jackson,.94877577
01073,AL,Jefferson,.86380351
01075,AL,Lamar,.95606863
01077,AL,Lauderdale,1.0058931
01079,AL,Lawrence,.82453328
01081,AL,Lee,.62189054
01083,AL,Limestone,.71855825
01085,AL,Lowndes,1.3150059
01087,AL,Macon,.9597441
01089,AL,Madison,.72890067
01091,AL,Marengo,1.1784946
01093,AL,Marion,.759785
01095,AL,Marshall,1.0535717
01097,AL,Mobile,1.1698132
01099,AL,Monroe,1.2503712
01101,AL,Montgomery,.94236535
01103,AL,Morgan,.99311554
01105,AL,Perry,1.1867795
01107,AL,Pickens,1.2225747
01109,AL,Pike,1.1297482
01111,AL,Randolph,.90795469
01113,AL,Russell,1.088322
01115,AL,St. Clair,.83995664
01117,AL,Shelby,.58402193
01119,AL,Sumter,1.5698484
01121,AL,Talladega,1.1938217
01123,AL,Tallapoosa,1.0262777
01125,AL,Tuscaloosa,.78597057
01127,AL,Walker,1.1369904
01129,AL,Washington,1.0082068
01131,AL,Wilcox,1.7803278
01133,AL,Winston,1.053874
02013,AK,Aleutians East,1.4836795
02016,AK,Aleutians West,.6651628
02020,AK,Anchorage,.39889342
02050,AK,Bethel,2.8536918
02060,AK,Bristol Bay,2.3068051
02068,AK,Denali,.040180005
02070,AK,Dillingham,1.6220601
02090,AK,Fairbanks North Star,.25910288
02100,AK,Haines,1.1876484
02110,AK,Juneau,.37390167
02122,AK,Kenai Peninsula,.6241079
02130,AK,Ketchikan Gateway,.79387993
02150,AK,Kodiak Island,.63826096
02164,AK,Lake and Peninsula,5.5555553
02170,AK,Matanuska-Susitna,.3660872
02180,AK,Nome,2.5115075
02185,AK,North Slope,1.2182239
02188,AK,Northwest Arctic,2.6678813
02195,AK,Petersburg,.30478513
02198,AK,Prince of Wales-Hyder,.3104144
02220,AK,Sitka,.35485479
02240,AK,Southeast Fairbanks,.85898179
02261,AK,Valdez-Cordova,1.5358914
02282,AK,Yakutat,3.3057852
02290,AK,Yukon-Koyukuk,5.9024544
04001,AZ,Apache,.64240426
