CountyFIPS,state,county,superc16
01001,AL,Autauga,1
01003,AL,Baldwin,7
01005,AL,Barbour,1
01007,AL,Bibb,1
01009,AL,Blount,1
01011,AL,Bullock,0
01013,AL,Butler,1
01015,AL,Calhoun,4
01017,AL,Chambers,1
01019,AL,Cherokee,1
01021,AL,Chilton,1
01023,AL,Choctaw,0
01025,AL,Clarke,2
01027,AL,Clay,0
01029,AL,Cleburne,0
01031,AL,Coffee,1
01033,AL,Colbert,1
01035,AL,Conecuh,0
01037,AL,Coosa,0
01039,AL,Covington,1
01041,AL,Crenshaw,0
01043,AL,Cullman,2
01045,AL,Dale,1
01047,AL,Dallas,1
01049,AL,DeKalb,1
01051,AL,Elmore,2
01053,AL,Escambia,2
01055,AL,Etowah,2
01057,AL,Fayette,1
01059,AL,Franklin,1
01061,AL,Geneva,0
01063,AL,Greene,0
01065,AL,Hale,0
01067,AL,Henry,0
01069,AL,Houston,3
01071,AL,Jackson,1
01073,AL,Jefferson,19
01075,AL,Lamar,0
01077,AL,Lauderdale,3
01079,AL,Lawrence,1
01081,AL,Lee,3
01083,AL,Limestone,1
01085,AL,Lowndes,0
01087,AL,Macon,0
01089,AL,Madison,14
01091,AL,Marengo,1
01093,AL,Marion,2
01095,AL,Marshall,3
01097,AL,Mobile,10
01099,AL,Monroe,1
01101,AL,Montgomery,6
01103,AL,Morgan,2
01105,AL,Perry,0
01107,AL,Pickens,0
01109,AL,Pike,1
01111,AL,Randolph,1
01113,AL,Russell,1
01115,AL,St. Clair,3
01117,AL,Shelby,5
01119,AL,Sumter,0
01121,AL,Talladega,2
01123,AL,Tallapoosa,1
01125,AL,Tuscaloosa,4
01127,AL,Walker,2
01129,AL,Washington,0
01131,AL,Wilcox,0
01133,AL,Winston,0
02013,AK,Aleutians East,0
02016,AK,Aleutians West,0
02020,AK,Anchorage,13
02050,AK,Bethel,0
02060,AK,Bristol Bay,0
02068,AK,Denali,0
02070,AK,Dillingham,0
