CountyFIPS,state,county,veg_acres12
01001,AL,Autauga,1230
01003,AL,Baldwin,1958
01005,AL,Barbour,41
01007,AL,Bibb,14
01009,AL,Blount,677
01011,AL,Bullock,70
01013,AL,Butler,105
01015,AL,Calhoun,26
01017,AL,Chambers,51
01021,AL,Chilton,463
01023,AL,Choctaw,59
01025,AL,Clarke,71
01027,AL,Clay,23
01029,AL,Cleburne,27
01031,AL,Coffee,81
01033,AL,Colbert,58
01035,AL,Conecuh,90
01039,AL,Covington,55
01041,AL,Crenshaw,42
01043,AL,Cullman,1094
01047,AL,Dallas,416
01049,AL,DeKalb,799
01051,AL,Elmore,149
01053,AL,Escambia,38
01055,AL,Etowah,224
01057,AL,Fayette,92
01059,AL,Franklin,51
01061,AL,Geneva,528
01063,AL,Greene,64
01065,AL,Hale,118
01067,AL,Henry,17
01069,AL,Houston,3950
01071,AL,Jackson,423
01073,AL,Jefferson,59
01075,AL,Lamar,34
01077,AL,Lauderdale,96
01079,AL,Lawrence,76
01081,AL,Lee,18
01083,AL,Limestone,81
01085,AL,Lowndes,60
01087,AL,Macon,73
01089,AL,Madison,100
01091,AL,Marengo,84
01093,AL,Marion,38
01095,AL,Marshall,55
01097,AL,Mobile,333
01099,AL,Monroe,30
01101,AL,Montgomery,74
01103,AL,Morgan,108
01105,AL,Perry,80
01107,AL,Pickens,87
01109,AL,Pike,8
01111,AL,Randolph,62
01113,AL,Russell,75
01115,AL,St. Clair,491
01117,AL,Shelby,33
01119,AL,Sumter,76
01121,AL,Talladega,24
01123,AL,Tallapoosa,19
01125,AL,Tuscaloosa,140
01129,AL,Washington,46
01131,AL,Wilcox,92
01133,AL,Winston,27
02020,AK,Anchorage,741
02090,AK,Fairbanks North Star,261
02110,AK,Juneau,10
02122,AK,Kenai Peninsula,36
04001,AZ,Apache,2207
04003,AZ,Cochise,1068
04005,AZ,Coconino,420
04009,AZ,Graham,510
04011,AZ,Greenlee,0
04013,AZ,Maricopa,12623
04015,AZ,Mohave,23
04017,AZ,Navajo,889
04019,AZ,Pima,472
04021,AZ,Pinal,8593
04023,AZ,Santa Cruz,12
04025,AZ,Yavapai,203
04027,AZ,Yuma,100294
05003,AR,Ashley,444
05007,AR,Benton,581
05009,AR,Boone,8
05011,AR,Bradley,1038
05013,AR,Calhoun,13
05015,AR,Carroll,19
05019,AR,Clark,12
05023,AR,Cleburne,27
05025,AR,Cleveland,2
05029,AR,Conway,2
05031,AR,Craighead,61
05033,AR,Crawford,72
05035,AR,Crittenden,10
05043,AR,Drew,94
05045,AR,Faulkner,37
05049,AR,Fulton,16
05053,AR,Grant,7
05055,AR,Greene,3
05057,AR,Hempstead,55
05059,AR,Hot Spring,30
05061,AR,Howard,5
05063,AR,Independence,34
05065,AR,Izard,30
05067,AR,Jackson,1251
05069,AR,Jefferson,45
05071,AR,Johnson,27
05073,AR,Lafayette,91
05081,AR,Little River,64
05083,AR,Logan,14
05085,AR,Lonoke,653
05087,AR,Madison,28
05089,AR,Marion,4
05091,AR,Miller,59
05093,AR,Mississippi,286
05095,AR,Monroe,0
05099,AR,Nevada,101
05101,AR,Newton,6
05105,AR,Perry,6
05107,AR,Phillips,28
05111,AR,Poinsett,3
05113,AR,Polk,24
05115,AR,Pope,6
05119,AR,Pulaski,1360
05121,AR,Randolph,8
05123,AR,St. Francis,233
05125,AR,Saline,44
05129,AR,Searcy,4
05131,AR,Sebastian,9
05135,AR,Sharp,49
05139,AR,Union,49
05141,AR,Van Buren,14
05143,AR,Washington,291
05145,AR,White,103
06001,CA,Alameda,116
06003,CA,Alpine,0
06005,CA,Amador,33
06007,CA,Butte,566
06009,CA,Calaveras,57
06011,CA,Colusa,14773
06013,CA,Contra Costa,5254
06015,CA,Del Norte,54
06017,CA,El Dorado,229
06019,CA,Fresno,176589
06021,CA,Glenn,3403
06023,CA,Humboldt,598
06025,CA,Imperial,126153
06029,CA,Kern,88634
06031,CA,Kings,27267
06033,CA,Lake,108
06035,CA,Lassen,630
06037,CA,Los Angeles,17447
06039,CA,Madera,6913
06041,CA,Marin,230
06043,CA,Mariposa,1
06045,CA,Mendocino,369
06047,CA,Merced,59815
06049,CA,Modoc,4386
06053,CA,Monterey,261546
06055,CA,Napa,72
06057,CA,Nevada,212
06059,CA,Orange,1548
06061,CA,Placer,185
06065,CA,Riverside,36314
06067,CA,Sacramento,3720
06069,CA,San Benito,10461
06071,CA,San Bernardino,1032
06073,CA,San Diego,1968
06075,CA,San Francisco,0
06077,CA,San Joaquin,57903
06079,CA,San Luis Obispo,25441
06081,CA,San Mateo,1312
06083,CA,Santa Barbara,64393
06085,CA,Santa Clara,11234
06087,CA,Santa Cruz,17898
06089,CA,Shasta,134
06091,CA,Sierra,0
06093,CA,Siskiyou,9129
06095,CA,Solano,13277
06097,CA,Sonoma,1121
06099,CA,Stanislaus,19050
06101,CA,Sutter,18934
06103,CA,Tehama,83
06105,CA,Trinity,67
06107,CA,Tulare,3611
06111,CA,Ventura,35714
06113,CA,Yolo,45059
06115,CA,Yuba,86
08001,CO,Adams,108
08003,CO,Alamosa,15284
08005,CO,Arapahoe,11
08007,CO,Archuleta,5
08009,CO,Baca,0
08013,CO,Boulder,808
08017,CO,Cheyenne,0
08019,CO,Clear Creek,0
08023,CO,Costilla,4683
08025,CO,Crowley,106
08027,CO,Custer,0
08029,CO,Delta,994
08033,CO,Dolores,11
08035,CO,Douglas,14
08039,CO,Elbert,5
08041,CO,El Paso,17
08043,CO,Fremont,45
08045,CO,Garfield,9
08047,CO,Gilpin,0
08049,CO,Grand,0
08051,CO,Gunnison,0
08053,CO,Hinsdale,0
08057,CO,Jackson,0
08059,CO,Jefferson,27
08061,CO,Kiowa,0
08063,CO,Kit Carson,1
08065,CO,Lake,0
08067,CO,La Plata,23
08069,CO,Larimer,1392
08071,CO,Las Animas,5
08073,CO,Lincoln,0
08075,CO,Logan,5
08077,CO,Mesa,550
08079,CO,Mineral,0
08081,CO,Moffat,8
08083,CO,Montezuma,63
08085,CO,Montrose,3170
08087,CO,Morgan,307
08089,CO,Otero,2017
08091,CO,Ouray,2
08093,CO,Park,0
08099,CO,Prowers,1510
08101,CO,Pueblo,1323
08105,CO,Rio Grande,18648
08107,CO,Routt,27
08109,CO,Saguache,16974
08111,CO,San Juan,0
08113,CO,San Miguel,3
08117,CO,Summit,0
08119,CO,Teller,3
08121,CO,Washington,0
08123,CO,Weld,9955
08125,CO,Yuma,3925
09001,CT,Fairfield,302
09003,CT,Hartford,4353
09005,CT,Litchfield,894
09007,CT,Middlesex,351
09009,CT,New Haven,1625
09011,CT,New London,432
09013,CT,Tolland,988
09015,CT,Windham,349
10001,DE,Kent,16962
10003,DE,New Castle,767
10005,DE,Sussex,22954
12001,FL,Alachua,2924
12003,FL,Baker,233
12005,FL,Bay,4
12007,FL,Bradford,76
12013,FL,Calhoun,222
12015,FL,Charlotte,3442
12019,FL,Clay,26
12021,FL,Collier,13881
12023,FL,Columbia,541
12027,FL,DeSoto,1205
12031,FL,Duval,18
12033,FL,Escambia,386
12035,FL,Flagler,2528
12037,FL,Franklin,0
12039,FL,Gadsden,871
12041,FL,Gilchrist,2685
12047,FL,Hamilton,2971
12049,FL,Hardee,1095
12051,FL,Hendry,11234
12053,FL,Hernando,54
