CountyFIPS,state,county,veg_acrespth12
01001,AL,Autauga,17.181694
01003,AL,Baldwin,11.975041
01005,AL,Barbour,1.1782466
01007,AL,Bibb,2.8707712
01009,AL,Blount,10.125312
01011,AL,Bullock,12.634357
01013,AL,Butler,3.9200313
01015,AL,Calhoun,.39220366
01017,AL,Chambers,1.1445341
01019,AL,Cherokee,4.4191675
01021,AL,Chilton,9.4056797
01023,AL,Choctaw,3.839622
01025,AL,Clarke,1.8294623
01029,AL,Cleburne,1.1393338
01031,AL,Coffee,2.4622359
01033,AL,Colbert,1.1198413
01035,AL,Conecuh,5.6171131
01037,AL,Coosa,1.071907
01039,AL,Covington,1.0576974
01041,AL,Crenshaw,3.0105369
01043,AL,Cullman,16.535198
01045,AL,Dale,1.1525316
01047,AL,Dallas,9.3274422
01049,AL,DeKalb,16.238617
01051,AL,Elmore,2.2627809
01053,AL,Escambia,1.1305674
01055,AL,Etowah,4.9215713
01057,AL,Fayette,2.653302
01059,AL,Franklin,2.9069767
01061,AL,Geneva,24.957417
01063,AL,Greene,13.242785
01065,AL,Hale,2.986819
01067,AL,Henry,8.1164122
01069,AL,Houston,41.497749
01071,AL,Jackson,17.544851
01073,AL,Jefferson,.065378956
01075,AL,Lamar,3.5082796
01077,AL,Lauderdale,1.1653
01079,AL,Lawrence,2.338939
01081,AL,Lee,.1149433
01083,AL,Limestone,2.2331398
01085,AL,Lowndes,2.7644675
01087,AL,Macon,3.4669662
01089,AL,Madison,.4668861
01091,AL,Marengo,4.8902144
01093,AL,Marion,1.8023922
01095,AL,Marshall,2.1543491
01097,AL,Mobile,.80966765
01099,AL,Monroe,3.6750054
01101,AL,Montgomery,.043613654
01103,AL,Morgan,1.7816705
01105,AL,Perry,11.689588
01107,AL,Pickens,2.2733145
01109,AL,Pike,2.869657
01111,AL,Randolph,4.9496198
01115,AL,St. Clair,6.8694224
01117,AL,Shelby,.25394613
01119,AL,Sumter,8.6238937
01121,AL,Talladega,.20749167
01123,AL,Tallapoosa,.36440492
01125,AL,Tuscaloosa,.54899949
01127,AL,Walker,6.8898826
01129,AL,Washington,5.5506864
01131,AL,Wilcox,4.6634402
01133,AL,Winston,1.2822634
02020,AK,Anchorage,2.7694709
02090,AK,Fairbanks North Star,3.3874664
04001,AZ,Apache,53.464207
04003,AZ,Cochise,24.664867
04005,AZ,Coconino,5.7729926
04007,AZ,Gila,.32056722
04012,AZ,La Paz,487.49448
04013,AZ,Maricopa,4.428381
04017,AZ,Navajo,18.910055
04019,AZ,Pima,.083587371
04021,AZ,Pinal,25.659803
04025,AZ,Yavapai,.64009637
04027,AZ,Yuma,444.00742
05003,AR,Ashley,27.825602
05005,AR,Baxter,.43831882
05007,AR,Benton,2.5496516
05009,AR,Boone,1.2591084
05011,AR,Bradley,59.840427
05013,AR,Calhoun,6.7847719
05015,AR,Carroll,1.2330009
05019,AR,Clark,3.4632413
05027,AR,Columbia,2.5381749
05029,AR,Conway,.28295213
05031,AR,Craighead,1.7508229
05033,AR,Crawford,7.5909295
05035,AR,Crittenden,0
05037,AR,Cross,95.942421
05043,AR,Drew,3.3031433
05045,AR,Faulkner,.93618745
05051,AR,Garland,.22727743
05053,AR,Grant,6.5975494
05057,AR,Hempstead,3.5332527
05059,AR,Hot Spring,2.1274683
05063,AR,Independence,.16243875
05065,AR,Izard,1.6277004
05067,AR,Jackson,73.190086
05069,AR,Jefferson,1.3937843
05071,AR,Johnson,.46330258
05075,AR,Lawrence,1.9953052
05077,AR,Lee,7.4854722
05079,AR,Lincoln,85.530502
05081,AR,Little River,1.626646
05083,AR,Logan,1.0905621
05085,AR,Lonoke,18.159254
05087,AR,Madison,1.343484
05091,AR,Miller,1.1916493
05093,AR,Mississippi,3.7102087
05097,AR,Montgomery,.85818493
05099,AR,Nevada,7.0722947
05101,AR,Newton,1.1130348
05103,AR,Ouachita,1.4177135
05105,AR,Perry,1.3544892
05107,AR,Phillips,2.5056617
05111,AR,Poinsett,.82375717
05113,AR,Polk,.14679258
05115,AR,Pope,1.1501414
05119,AR,Pulaski,4.522037
05121,AR,Randolph,2.744483
05123,AR,St. Francis,11.613736
05125,AR,Saline,1.2706367
05127,AR,Scott,.81766146
05129,AR,Searcy,2.2525342
05131,AR,Sebastian,.25107294
05133,AR,Sevier,.34948742
05135,AR,Sharp,3.9259346
05137,AR,Stone,1.3487781
05139,AR,Union,1.8841147
05143,AR,Washington,.63315964
05145,AR,White,1.1311642
05147,AR,Woodruff,62.977638
05149,AR,Yell,.68778944
06003,CA,Alpine,0
06005,CA,Amador,.16172943
06007,CA,Butte,1.1663389
06009,CA,Calaveras,1.2512568
06011,CA,Colusa,887.2251
06013,CA,Contra Costa,5.851069
06015,CA,Del Norte,.24821815
06017,CA,El Dorado,.48732135
06019,CA,Fresno,206.18163
06021,CA,Glenn,70.148453
06023,CA,Humboldt,2.0934947
06025,CA,Imperial,470.19266
06029,CA,Kern,97.778831
06031,CA,Kings,210.68643
06033,CA,Lake,.48457184
06035,CA,Lassen,12.205262
06037,CA,Los Angeles,1.2940257
06039,CA,Madera,30.743954
06041,CA,Marin,.83977485
06043,CA,Mariposa,.11201344
06045,CA,Mendocino,2.9135532
06047,CA,Merced,227.40919
06049,CA,Modoc,444.87302
06053,CA,Monterey,594.93341
06055,CA,Napa,.20855057
06057,CA,Nevada,.63079929
06059,CA,Orange,.30103487
06061,CA,Placer,.33498055
06063,CA,Plumas,.41395012
06065,CA,Riverside,11.760239
06067,CA,Sacramento,3.8205936
06069,CA,San Benito,472.49713
06071,CA,San Bernardino,2.0889375
06073,CA,San Diego,1.1239314
06075,CA,San Francisco,0
06077,CA,San Joaquin,98.982986
06079,CA,San Luis Obispo,108.60966
06081,CA,San Mateo,2.4411156
06083,CA,Santa Barbara,153.0683
06085,CA,Santa Clara,6.2965765
06087,CA,Santa Cruz,62.337536
06089,CA,Shasta,.84631294
06091,CA,Sierra,0
06093,CA,Siskiyou,163.11044
06095,CA,Solano,28.89666
06097,CA,Sonoma,1.8726592
06099,CA,Stanislaus,39.781879
06101,CA,Sutter,189.71411
06103,CA,Tehama,.93321943
06105,CA,Trinity,1.7026947
06107,CA,Tulare,9.7824116
06109,CA,Tuolumne,.1293207
06111,CA,Ventura,42.29031
06113,CA,Yolo,238.54544
06115,CA,Yuba,1.1789542
08001,CO,Adams,2.5199249
08003,CO,Alamosa,1214.1176
08005,CO,Arapahoe,.018444523
08011,CO,Bent,.17205781
08013,CO,Boulder,1.7018603
08014,CO,Broomfield,0
08015,CO,Chaffee,0
08017,CO,Cheyenne,0
08019,CO,Clear Creek,0
08021,CO,Conejos,135.31473
08023,CO,Costilla,1261.8717
08029,CO,Delta,37.281567
08035,CO,Douglas,.036829576
08037,CO,Eagle,0
08041,CO,El Paso,.040267751
08043,CO,Fremont,.33962345
08045,CO,Garfield,.21137924
08047,CO,Gilpin,0
08053,CO,Hinsdale,0
08057,CO,Jackson,0
08059,CO,Jefferson,.078780986
08067,CO,La Plata,.40147591
08069,CO,Larimer,10.666624
08073,CO,Lincoln,0
08075,CO,Logan,.64017558
08077,CO,Mesa,5.3682642
08079,CO,Mineral,0
08081,CO,Moffat,0
08083,CO,Montezuma,1.14052
08085,CO,Montrose,76.575356
08087,CO,Morgan,40.220154
08089,CO,Otero,113.07326
08091,CO,Ouray,.65934068
08093,CO,Park,0
08101,CO,Pueblo,9.6694355
08105,CO,Rio Grande,1825.3048
08109,CO,Saguache,2867.7007
08111,CO,San Juan,0
08113,CO,San Miguel,.52742618
08115,CO,Sedgwick,0
08117,CO,Summit,0
08121,CO,Washington,0
08123,CO,Weld,49.542439
08125,CO,Yuma,190.12833
