ZCTA5CE10,house_worship_freq
00601,0
00602,0
00603,0
00606,0
00610,0
00612,0
00616,0
00617,0
00622,0
00623,0
00624,0
00627,0
00631,0
00637,0
00638,0
00641,0
00646,0
00647,0
00650,0
00652,0
00653,0
00656,0
00659,0
00660,0
00662,0
00664,0
00667,0
00669,0
00670,0
00674,0
00676,0
00677,0
00678,0
00680,0
00682,0
00683,0
00685,0
00687,0
00688,0
00690,0
00692,0
00693,0
00694,0
00698,0
00703,0
00704,0
00705,0
00707,0
00714,0
00715,0
00716,0
00717,0
00718,0
00719,0
00720,0
00723,0
00725,0
00727,0
00728,0
00729,0
00730,0
00731,0
00735,0
00736,0
00738,0
00739,0
00740,0
00741,0
00745,0
00751,0
00754,0
00757,0
00765,0
00766,0
00767,0
00769,0
00771,0
00772,0
00773,0
00775,0
00777,0
00778,0
00780,0
00782,0
00783,0
00784,0
00786,0
00791,0
00794,0
00795,0
00801,0
00802,0
00820,0
00823,0
00824,0
00830,0
00831,0
00840,0
00841,0
00850,0
00851,0
00901,0
00906,0
00907,0
00909,0
00911,0
00912,0
00913,0
00915,0
00917,0
00918,0
00920,0
00921,0
00923,0
00924,0
00925,0
00926,0
00927,0
00934,0
00936,0
00949,0
00950,0
00951,0
00952,0
00953,0
00956,0
00957,0
00959,0
00960,0
00961,0
00962,0
00965,0
00966,0
00968,0
00969,0
00971,0
00976,0
00979,0
00982,0
00983,0
00985,0
00987,0
01001,5
01002,24
01003,1
01005,4
01007,2
01008,0
01009,0
01010,2
01011,1
01012,0
01013,9
01020,20
01022,0
01026,0
01027,5
01028,12
01029,0
01030,9
01031,2
01032,0
01033,1
01034,1
01035,4
01036,0
01037,0
01038,1
01039,0
01040,23
01050,2
01053,0
01054,2
01056,4
01057,1
01060,10
01062,3
01063,0
01066,0
01068,1
01069,3
01070,0
01071,0
01072,1
01073,2
01074,0
01075,10
01077,4
01079,0
01080,1
01081,0
01082,4
01083,1
01084,0
01085,18
01086,0
01088,0
01089,17
01092,1
01093,0
01094,0
01095,7
01096,1
01097,0
01098,0
01103,1
01104,24
01105,11
01106,6
01107,7
01108,19
01109,47
01118,7
01119,10
01128,1
01129,3
01151,8
01199,0
01201,20
01220,1
01222,1
01223,1
01224,0
01225,0
01226,1
01229,0
01230,5
01235,1
01236,1
01237,1
01238,5
01240,4
01242,0
01243,0
01244,0
01245,1
01247,9
01253,1
01254,0
01255,0
01256,1
01257,2
01258,0
01259,0
01260,1
01262,2
01264,1
01266,0
01267,5
01270,1
01301,11
01330,0
01331,2
01337,0
01338,0
01339,2
01340,1
01341,0
01342,1
01343,0
01344,0
01346,0
01347,0
01349,1
01350,0
01351,4
01354,0
01355,0
01360,2
01364,6
01366,1
01367,1
01368,0
01370,6
01373,1
01375,2
01376,3
01378,2
01379,0
01420,23
01430,1
01431,2
01432,4
01434,0
01436,0
01438,0
01440,9
01450,4
01451,1
01452,3
01453,19
01460,2
01462,6
01463,3
01464,1
01467,3
01468,2
01469,1
01473,10
01474,0
01475,5
01501,5
01503,1
01504,1
01505,1
01506,2
01507,6
01510,7
01515,2
01516,1
01518,0
01519,5
01520,5
01521,1
01522,0
01523,2
01524,1
01525,0
01527,7
01529,0
01531,0
01532,5
01534,0
01535,1
01536,1
01537,2
01540,5
01541,0
01542,2
01543,1
01545,11
01550,13
01560,0
01561,4
01562,5
01564,3
01566,6
01568,2
01569,7
01570,3
01571,1
01581,15
01583,6
01585,3
01588,3
01590,2
01602,13
01603,19
01604,26
01605,16
01606,12
01607,5
01608,10
01609,11
01610,13
01611,2
01612,1
01701,23
01702,32
01718,0
01719,2
01720,13
01721,4
01730,11
01731,0
01740,1
01741,3
01742,9
01745,1
01746,5
01747,1
01748,9
01749,9
01752,26
01754,5
01756,3
01757,19
01760,23
01770,1
01772,4
01773,3
01775,2
01776,9
01778,7
01801,14
01803,16
01810,19
01821,4
01824,16
01826,9
01827,0
01830,15
01832,7
01833,1
01834,0
01835,5
01840,11
01841,19
01843,8
01844,13
01845,5
01850,9
01851,16
01852,18
01854,10
01860,3
01862,3
01863,9
01864,4
01867,6
01876,6
01879,4
01880,11
01886,10
01887,5
01890,11
01901,4
01902,23
01904,7
01905,14
01906,10
01907,3
01908,1
01913,7
01915,19
01921,2
01922,1
01923,7
01929,2
01930,17
01937,0
01938,7
01940,5
01944,3
01945,4
01949,2
01950,4
01951,0
01952,1
01960,15
01966,3
01969,1
01970,26
01982,1
01983,1
01984,3
01985,4
02019,4
02021,8
02025,2
02026,9
02030,0
02032,3
02035,4
02038,7
02043,7
02045,1
02047,0
02048,3
02050,5
02052,2
