fips,countyname,state,SSP_count
1001,Autauga,Alabama,0
1009,Blount,Alabama,0
1017,Chambers,Alabama,0
1021,Chilton,Alabama,0
1033,Colbert,Alabama,0
1045,Dale,Alabama,0
1051,Elmore,Alabama,0
1065,Hale,Alabama,0
1079,Lawrence,Alabama,0
1083,Limestone,Alabama,0
1099,Monroe,Alabama,0
1107,Pickens,Alabama,0
1121,Talladega,Alabama,0
5141,Van Buren,Arkansas,0
5145,White,Arkansas,0
6005,Amador,California,0
6021,Glenn,California,0
6033,Lake,California,1
6043,Mariposa,California,0
6055,Napa,California,0
6089,Shasta,California,1
6099,Stanislaus,California,0
6115,Yuba,California,0
8003,Alamosa,Colorado,1
8013,Boulder,Colorado,1
8014,Broomfield,Colorado,0
8025,Crowley,Colorado,0
8031,Denver,Colorado,3
8035,Douglas,Colorado,0
8047,Gilpin,Colorado,0
12083,Marion,Florida,0
12087,Monroe,Florida,0
12095,Orange,Florida,1
12111,St. Lucie,Florida,0
12119,Sumter,Florida,0
12125,Union,Florida,0
13001,Appling,Georgia,0
13013,Barrow,Georgia,0
13029,Bryan,Georgia,0
13043,Candler,Georgia,0
13055,Chattooga,Georgia,0
13059,Clarke,Georgia,1
13071,Colquitt,Georgia,0
13079,Crawford,Georgia,0
13091,Dodge,Georgia,0
13107,Emanuel,Georgia,0
13113,Fayette,Georgia,0
13123,Gilmer,Georgia,0
8053,Hinsdale,Colorado,0
8057,Jackson,Colorado,0
8059,Jefferson,Colorado,1
8073,Lincoln,Colorado,0
8083,Montezuma,Colorado,0
8095,Phillips,Colorado,0
8105,Rio Grande,Colorado,0
8111,San Juan,Colorado,0
8123,Weld,Colorado,0
9015,Windham,Connecticut,0
12001,Alachua,Florida,0
12013,Calhoun,Florida,0
12023,Columbia,Florida,0
12039,Gadsden,Florida,0
12055,Highlands,Florida,0
12059,Holmes,Florida,0
12073,Leon,Florida,0
4003,Cochise,Arizona,0
4013,Maricopa,Arizona,3
5001,Arkansas,Arkansas,0
5009,Boone,Arkansas,0
5019,Clark,Arkansas,0
5029,Conway,Arkansas,0
5043,Drew,Arkansas,0
5051,Garland,Arkansas,0
5061,Howard,Arkansas,0
5071,Johnson,Arkansas,0
5085,Lonoke,Arkansas,0
5097,Montgomery,Arkansas,0
5101,Newton,Arkansas,0
5111,Poinsett,Arkansas,0
5123,St. Francis,Arkansas,0
5129,Searcy,Arkansas,0
13309,Wheeler,Georgia,0
13313,Whitfield,Georgia,0
13319,Wilkinson,Georgia,0
16015,Boise,Idaho,0
16021,Boundary,Idaho,0
16045,Gem,Idaho,0
16051,Jefferson,Idaho,0
16057,Latah,Idaho,0
16067,Minidoka,Idaho,0
16081,Teton,Idaho,0
17005,Bond,Illinois,0
17009,Brown,Illinois,0
17019,Champaign,Illinois,0
17029,Coles,Illinois,0
17035,Cumberland,Illinois,0
17049,Effingham,Illinois,0
17055,Franklin,Illinois,0
17065,Hamilton,Illinois,0
18051,Gibson,Indiana,0
18059,Hancock,Indiana,0
18069,Huntington,Indiana,0
18079,Jennings,Indiana,0
18085,Kosciusko,Indiana,0
18095,Madison,Indiana,2
18105,Monroe,Indiana,1
18115,Ohio,Indiana,0
18125,Pike,Indiana,0
18131,Pulaski,Indiana,0
18139,Rush,Indiana,0
18153,Sullivan,Indiana,0
18173,Warrick,Indiana,0
18179,Wells,Indiana,0
18183,Whitley,Indiana,0
19009,Audubon,Iowa,0
19017,Bremer,Iowa,0
19021,Buena Vista,Iowa,0
19031,Cedar,Iowa,0
19039,Clarke,Iowa,0
17073,Henry,Illinois,0
17077,Jackson,Illinois,0
17079,Jasper,Illinois,0
17089,Kane,Illinois,1
17103,Lee,Illinois,0
17107,Logan,Illinois,0
17121,Marion,Illinois,0
17129,Menard,Illinois,0
17139,Moultrie,Illinois,0
17145,Perry,Illinois,0
17155,Putnam,Illinois,0
17169,Schuyler,Illinois,0
17175,Stark,Illinois,0
17179,Tazewell,Illinois,0
17189,Washington,Illinois,0
17203,Woodford,Illinois,0
18009,Blackford,Indiana,0
18011,Boone,Indiana,0
18021,Clay,Indiana,0
18033,DeKalb,Indiana,0
13125,Glascock,Georgia,0
13129,Gordon,Georgia,0
13131,Grady,Georgia,0
13139,Hall,Georgia,0
13157,Jackson,Georgia,0
13169,Jones,Georgia,0
13175,Laurens,Georgia,0
13187,Lumpkin,Georgia,0
13197,Marion,Georgia,0
13201,Miller,Georgia,0
13217,Newton,Georgia,0
13225,Peach,Georgia,0
13233,Polk,Georgia,0
13243,Randolph,Georgia,0
13253,Seminole,Georgia,0
13265,Taliaferro,Georgia,0
13277,Tift,Georgia,0
13285,Troup,Georgia,0
13293,Upson,Georgia,0
13303,Washington,Georgia,0
20027,Clay,Kansas,0
20029,Cloud,Kansas,0
20039,Decatur,Kansas,0
20049,Elk,Kansas,0
20065,Graham,Kansas,0
20075,Hamilton,Kansas,0
20085,Jackson,Kansas,0
20095,Kingman,Kansas,0
20105,Lincoln,Kansas,0
20115,Marion,Kansas,0
20127,Morris,Kansas,0
20135,Ness,Kansas,0
20145,Pawnee,Kansas,0
20155,Reno,Kansas,0
20163,Rooks,Kansas,0
20173,Sedgwick,Kansas,0
20185,Stafford,Kansas,0
20195,Trego,Kansas,0
20203,Wichita,Kansas,0
20205,Wilson,Kansas,0
