,ZCTA,SSP_count
1,43451,0
2,43452,0
3,43456,0
4,43457,0
5,43458,0
6,43460,0
7,43462,0
8,43463,0
9,43464,0
10,43465,0
11,43466,0
12,43467,0
13,43468,0
14,97824,0
15,97825,0
16,97826,0
17,97827,0
18,97828,0
19,97830,0
20,97833,0
21,97834,0
22,97835,0
23,97836,0
24,97837,0
25,97838,0
26,97839,0
27,97840,0
28,97841,0
29,97842,0
30,97843,0
31,97844,0
32,97845,0
33,97846,0
34,97848,0
35,97850,0
36,97856,0
37,97857,0
38,97859,0
39,97862,0
40,97864,0
41,97865,0
42,97867,0
43,97868,0
44,97869,0
45,97870,0
46,97873,0
47,97874,0
48,97875,0
49,97876,0
50,97877,0
51,97880,0
52,97882,0
53,97883,0
54,94118,0
55,94121,0
56,94122,0
57,94123,0
58,94124,0
59,94127,0
60,94128,0
61,94129,0
62,94130,0
63,94131,0
64,94132,0
65,39531,0
66,42409,0
67,42410,0
68,48755,0
69,42411,0
70,42413,0
71,48756,0
72,48757,0
73,39532,0
74,39534,0
75,48759,0
76,39540,0
77,48760,0
78,48761,0
79,48762,0
80,39553,0
81,42420,0
82,39556,0
83,48763,0
84,48765,0
85,48766,0
86,39560,0
87,48767,0
88,39561,0
89,42431,1
90,42436,0
91,48768,0
92,48770,0
93,39562,0
94,42437,0
95,95825,0
96,95826,0
97,95827,0
98,95828,0
99,95829,0
100,95830,0
101,95831,0
102,95832,0
103,95833,0
104,33573,0
105,37336,0
106,33576,0
107,37337,0
108,37338,0
109,37339,0
110,37340,0
111,33578,0
112,37341,0
113,33579,0
114,37342,0
115,33584,0
116,33585,0
117,33592,0
118,37343,0
119,37345,0
120,33594,0
121,33596,0
122,37347,0
123,37348,0
124,37350,0
125,61820,0
126,53406,0
127,53501,0
128,53502,0
129,53503,0
130,61821,0
131,53504,0
132,53505,0
133,53506,0
134,53507,0
135,53508,0
136,61822,0
137,53510,0
138,61830,0
139,61831,0
140,53511,1
141,53515,0
142,53516,0
143,53517,0
144,61832,0
145,53518,0
146,61833,0
147,53520,0
148,53521,0
149,61834,0
150,53522,0
151,61839,0
152,61840,0
153,53523,0
154,61841,0
155,53525,0
156,2457,0
157,2458,0
158,2459,0
159,2460,0
160,2461,0
161,2462,0
162,2464,0
163,2465,0
164,2466,0
165,2467,0
166,2468,0
167,2472,0
168,2474,0
169,2476,0
170,2478,0
171,2481,0
172,2482,0
173,2492,0
174,2493,0
175,2494,0
176,2532,0
177,2534,0
178,2535,0
179,75098,0
180,75101,0
181,75102,0
182,75103,0
183,75104,0
184,75105,0
185,75109,0
186,75110,0
187,75114,0
188,75115,0
189,75116,0
190,75117,0
191,75119,0
192,75124,0
193,75125,0
194,75126,0
195,75127,0
196,75132,0
197,75134,0
198,75135,0
199,48472,0
200,48473,0
201,42025,0
202,48475,0
203,48476,0
204,48502,1
205,42027,0
206,42028,0
207,42029,0
208,48503,0
209,42031,0
210,42032,0
211,42035,0
212,42036,0
213,42037,0
214,48504,0
215,42038,0
216,42039,0
217,42040,0
218,42041,0
219,48505,0
220,29324,0
221,29325,0
222,27030,0
223,27040,0
224,27041,0
225,27042,0
226,27043,0
227,27045,0
228,27046,0
229,27047,0
230,27048,0
231,27050,0
232,27051,0
233,27052,0
234,27053,0
235,27054,0
236,27055,0
237,27101,1
238,27103,0
239,27104,0
240,27105,0
241,27106,0
242,27107,0
243,27109,0
244,27110,0
245,27127,0
246,43469,0
247,43501,0
248,43502,0
249,43504,0
250,43505,0
251,43506,0
252,43511,0
253,43512,0
254,43515,0
255,43516,0
256,43517,0
257,43518,0
258,43519,0
259,43521,0
260,43522,0
261,43523,0
262,43524,0
263,43525,0
264,43526,0
265,43527,0
266,43528,0
267,97884,0
268,97885,0
269,97886,0
270,97901,0
271,97903,0
272,97904,0
273,97905,0
274,97906,0
275,97907,0
276,97908,0
277,97909,0
278,97911,0
279,97914,0
