CountyFIPS,state,county,wicspth16
01001,AL,Autauga,.090510845
01003,AL,Baldwin,.13480203
01005,AL,Barbour,.23238701
01007,AL,Bibb,.22147413
01009,AL,Blount,.13908932
01011,AL,Bullock,.28898951
01013,AL,Butler,.19971041
01015,AL,Calhoun,.17388582
01017,AL,Chambers,.17766723
01019,AL,Cherokee,.15518312
01021,AL,Chilton,.13668671
01023,AL,Choctaw,.22990267
01025,AL,Clarke,.32855558
01027,AL,Clay,.22399761
01029,AL,Cleburne,.26930586
01031,AL,Coffee,.13686578
01033,AL,Colbert,.1655416
01035,AL,Conecuh,.1599872
01037,AL,Coosa,.09237022
01039,AL,Covington,.1872559
01041,AL,Crenshaw,.21548629
01043,AL,Cullman,.14553216
01045,AL,Dale,.12170138
01047,AL,Dallas,.19954106
01049,AL,DeKalb,.1547095
01051,AL,Elmore,.11075151
01053,AL,Escambia,.16005121
01055,AL,Etowah,.13612188
01057,AL,Fayette,.24161884
01059,AL,Franklin,.22114109
01061,AL,Geneva,.26417089
01063,AL,Greene,.23576565
01065,AL,Hale,.13481632
01067,AL,Henry,.23415092
01069,AL,Houston,.21105345
01071,AL,Jackson,.21134338
01073,AL,Jefferson,.11963788
01075,AL,Lamar,.28721189
01077,AL,Lauderdale,.1946851
01079,AL,Lawrence,.12036229
01081,AL,Lee,.10044131
01083,AL,Limestone,.086168826
01085,AL,Lowndes,.19506486
01087,AL,Macon,.20981956
01089,AL,Madison,.12331112
01091,AL,Marengo,.25620005
01093,AL,Marion,.20024028
01095,AL,Marshall,.16820328
01097,AL,Mobile,.13237096
01099,AL,Monroe,.23207241
01101,AL,Montgomery,.11009724
01103,AL,Morgan,.14289317
01105,AL,Perry,.31486145
01107,AL,Pickens,.19695701
01109,AL,Pike,.17899227
01111,AL,Randolph,.17771459
01113,AL,Russell,.18897747
01115,AL,St. Clair,.13742083
01117,AL,Shelby,.12297215
01119,AL,Sumter,.30830893
01121,AL,Talladega,.1491276
01123,AL,Tallapoosa,.19719005
01125,AL,Tuscaloosa,.10647875
01127,AL,Walker,.17041582
01129,AL,Washington,.18061408
01131,AL,Wilcox,.46078703
01133,AL,Winston,.25098303
02013,AK,Aleutians East,.88547814
02016,AK,Aleutians West,.52650052
02020,AK,Anchorage,.080749355
02050,AK,Bethel,.77695763
02060,AK,Bristol Bay,2.2148395
02070,AK,Dillingham,.60362172
02090,AK,Fairbanks North Star,.079457305
02100,AK,Haines,.79145229
02105,AK,Hoonah-Angoon,.93984962
02110,AK,Juneau,.15432099
02122,AK,Kenai Peninsula,.1881886
02130,AK,Ketchikan Gateway,.21875456
02150,AK,Kodiak Island,.14587893
02164,AK,Lake and Peninsula,.62578225
02170,AK,Matanuska-Susitna,.057605345
02180,AK,Nome,1.5058728
02185,AK,North Slope,.61741102
02188,AK,Northwest Arctic,1.690727
02195,AK,Petersburg,.91743118
02198,AK,Prince of Wales-Hyder,.61387354
02220,AK,Sitka,.343328
02240,AK,Southeast Fairbanks,.43802014
02261,AK,Valdez-Cordova,.42927667
02275,AK,Wrangell,.79968011
02282,AK,Yakutat,3.2626426
02290,AK,Yukon-Koyukuk,1.2907984
04001,AZ,Apache,.37813538
04003,AZ,Cochise,.13515447
04005,AZ,Coconino,.15656692
04007,AZ,Gila,.14980151
04009,AZ,Graham,.1321947
04011,AZ,Greenlee,.10361621
04012,AZ,La Paz,.2904022
04013,AZ,Maricopa,.097919434
04015,AZ,Mohave,.097313657
04017,AZ,Navajo,.22115128
04019,AZ,Pima,.095320076
04021,AZ,Pinal,.074275874
04023,AZ,Santa Cruz,.086080745
04025,AZ,Yavapai,.097955838
04027,AZ,Yuma,.12528913
05001,AR,Arkansas,.22044641
05003,AR,Ashley,.19488429
05005,AR,Baxter,.14584701
05007,AR,Benton,.10801052
05009,AR,Boone,.13419217
05011,AR,Bradley,.091182642
05015,AR,Carroll,.1801607
05017,AR,Chicot,.183621
05019,AR,Clark,.088495575
05021,AR,Clay,.1993223
05023,AR,Cleburne,.15889409
05025,AR,Cleveland,.12122682
05027,AR,Columbia,.24949062
05029,AR,Conway,.14374012
05031,AR,Craighead,.13228764
05033,AR,Crawford,.12839237
05035,AR,Crittenden,.22292025
05037,AR,Cross,.2349624
05039,AR,Dallas,.13509862
05041,AR,Desha,.25212201
05043,AR,Drew,.10780509
05045,AR,Faulkner,.10647011
05047,AR,Franklin,.22638519
05049,AR,Fulton,.082671955
05051,AR,Garland,.13223343
05053,AR,Grant,.1107481
05055,AR,Greene,.1117818
05057,AR,Hempstead,.18152115
05059,AR,Hot Spring,.11969239
05061,AR,Howard,.14963339
05063,AR,Independence,.13470553
05065,AR,Izard,.29660389
05067,AR,Jackson,.1735107
05069,AR,Jefferson,.12784091
05071,AR,Johnson,.11472275
05073,AR,Lafayette,.14507471
05075,AR,Lawrence,.30031833
05077,AR,Lee,.10706638
05079,AR,Lincoln,.072865054
05081,AR,Little River,.24152644
05083,AR,Logan,.18411967
05085,AR,Lonoke,.11139113
05087,AR,Madison,.12413108
05089,AR,Marion,.24423006
05091,AR,Miller,.1140459
05093,AR,Mississippi,.18657151
05095,AR,Monroe,.2776621
05097,AR,Montgomery,.11174433
05099,AR,Nevada,.11933174
05101,AR,Newton,.12722646
05103,AR,Ouachita,.24984385
05105,AR,Perry,.097333074
05107,AR,Phillips,.15738118
05109,AR,Pike,.1847575
05111,AR,Poinsett,.20827259
05113,AR,Polk,.14887598
05115,AR,Pope,.14089799
05117,AR,Prairie,.24236549
05119,AR,Pulaski,.10142348
05121,AR,Randolph,.11476444
05123,AR,St. Francis,.15183723
05125,AR,Saline,.10195845
05127,AR,Scott,.38785997
05129,AR,Searcy,.25113007
05131,AR,Sebastian,.12551284
05133,AR,Sevier,.17667845
05135,AR,Sharp,.23510051
05137,AR,Stone,.24003841
05139,AR,Union,.15044004
05141,AR,Van Buren,.24054363
05143,AR,Washington,.12257155
05145,AR,White,.16462573
05147,AR,Woodruff,.30229747
05149,AR,Yell,.13952839
06001,CA,Alameda,.087862492
06005,CA,Amador,.24039745
06007,CA,Butte,.10153225
06009,CA,Calaveras,.15451515
06011,CA,Colusa,.32478076
06013,CA,Contra Costa,.083538957
06015,CA,Del Norte,.072934143
06017,CA,El Dorado,.10210552
06019,CA,Fresno,.22086883
06021,CA,Glenn,.21543212
06023,CA,Humboldt,.16872808
06025,CA,Imperial,.17196618
06027,CA,Inyo,.11113581
06029,CA,Kern,.21419804
06031,CA,Kings,.14714833
06033,CA,Lake,.21914721
06035,CA,Lassen,.097068533
06037,CA,Los Angeles,.11738504
06039,CA,Madera,.18811624
06041,CA,Marin,.061389003
06043,CA,Mariposa,.057290174
06045,CA,Mendocino,.13732806
06047,CA,Merced,.22390482
06049,CA,Modoc,.44767767
06051,CA,Mono,.14082524
06053,CA,Monterey,.15180545
06055,CA,Napa,.12749229
06057,CA,Nevada,.11115153
06059,CA,Orange,.11480089
06061,CA,Placer,.11337031
06063,CA,Plumas,.31962496
06065,CA,Riverside,.10241042
06067,CA,Sacramento,.10453123
06069,CA,San Benito,.13505529
06071,CA,San Bernardino,.10870716
06073,CA,San Diego,.11358555
06075,CA,San Francisco,.048121266
06077,CA,San Joaquin,.109262
06079,CA,San Luis Obispo,.12058534
06081,CA,San Mateo,.0833112
06083,CA,Santa Barbara,.13493
06085,CA,Santa Clara,.075145848
06087,CA,Santa Cruz,.098288327
06089,CA,Shasta,.111994
06091,CA,Sierra,.3381806
06093,CA,Siskiyou,.2529957
06095,CA,Solano,.10698839
06097,CA,Sonoma,.10928983
06099,CA,Stanislaus,.16495472
06101,CA,Sutter,.13556071
06103,CA,Tehama,.094708927
06105,CA,Trinity,.23382697
06107,CA,Tulare,.18912098
06109,CA,Tuolumne,.14896469
06111,CA,Ventura,.14371184
06113,CA,Yolo,.12527259
06115,CA,Yuba,.15999573
08001,CO,Adams,.080281146
08003,CO,Alamosa,.2429986
08005,CO,Arapahoe,.078299828
08007,CO,Archuleta,.23379052
08009,CO,Baca,.5668934
08011,CO,Bent,.17714792
08013,CO,Boulder,.062010311
08014,CO,Broomfield,.075217381
08015,CO,Chaffee,.15715857
08017,CO,Cheyenne,.54083288
08019,CO,Clear Creek,.10688328
08021,CO,Conejos,.24823135
08023,CO,Costilla,.27056277
08025,CO,Crowley,.19007793
08027,CO,Custer,.21772262
08029,CO,Delta,.16471209
08031,CO,Denver,.044500716
08033,CO,Dolores,.48638132
08035,CO,Douglas,.051815368
08037,CO,Eagle,.12825446
08039,CO,Elbert,.079560824
08041,CO,El Paso,.06388969
08043,CO,Fremont,.10642374
08045,CO,Garfield,.11895254
08049,CO,Grand,.19775873
08051,CO,Gunnison,.12129299
08055,CO,Huerfano,.30399758
08057,CO,Jackson,.7369197
08059,CO,Jefferson,.068208173
08061,CO,Kiowa,.74515647
08063,CO,Kit Carson,.39344263
08065,CO,Lake,.13185655
08067,CO,La Plata,.090484634
08069,CO,Larimer,.067861423
08071,CO,Las Animas,.21312873
08073,CO,Lincoln,.36042529
08075,CO,Logan,.13803893
08077,CO,Mesa,.093434244
08081,CO,Moffat,.15217225
08083,CO,Montezuma,.19231509
08085,CO,Montrose,.17003497
08087,CO,Morgan,.17766407
08089,CO,Otero,.27454427
08091,CO,Ouray,.41771093
08093,CO,Park,.057597052
08095,CO,Phillips,.4669624
08097,CO,Pitkin,.055657595
08099,CO,Prowers,.33425254
08101,CO,Pueblo,.097042039
