STATEFP,COUNTYFP,INTERSTATE_5MILE
01,01001,1
01,01003,1
01,01005,1
01,01007,1
01,01009,1
01,01011,0
01,01013,1
01,01015,1
01,01017,1
01,01019,1
01,01021,1
01,01023,0
01,01025,0
01,01027,0
01,01029,1
01,01031,0
01,01033,0
01,01035,1
01,01037,0
01,01039,0
01,01041,1
01,01043,1
01,01045,0
01,01047,0
01,01049,1
01,01051,1
01,01053,1
01,01055,1
01,01057,0
01,01059,0
01,01061,0
01,01063,1
01,01065,1
01,01067,0
01,01069,0
01,01071,1
01,01073,1
01,01075,0
01,01077,0
01,01079,0
01,01081,1
01,01083,1
01,01085,1
01,01087,1
01,01089,1
01,01091,0
01,01093,0
01,01095,0
01,01097,1
01,01099,0
01,01101,1
01,01103,1
01,01105,0
01,01107,0
01,01109,0
01,01111,0
01,01113,1
01,01115,1
01,01117,1
01,01119,1
01,01121,1
01,01123,1
01,01125,1
01,01127,0
01,01129,0
01,01131,0
01,01133,0
02,02013,0
02,02016,0
02,02020,0
02,02050,0
02,02060,0
02,02068,0
02,02070,0
02,02090,0
02,02100,0
02,02105,0
02,02110,0
02,02122,0
02,02130,0
02,02150,0
02,02158,0
02,02164,0
02,02170,0
02,02180,0
02,02185,0
02,02188,0
02,02195,0
02,02198,0
02,02220,0
02,02230,0
02,02240,0
02,02261,0
02,02275,0
02,02282,0
02,02290,0
04,04001,1
04,04003,1
04,04005,1
04,04007,0
04,04009,1
04,04011,0
04,04012,1
04,04013,1
04,04015,1
04,04017,1
04,04019,1
04,04021,1
04,04023,1
04,04025,1
04,04027,1
05,05001,0
05,05003,0
05,05005,0
05,05007,1
05,05009,0
05,05011,0
05,05013,0
05,05015,0
05,05017,0
05,05019,1
05,05021,0
05,05023,0
05,05025,0
05,05027,0
05,05029,1
05,05031,1
05,05033,1
05,05035,1
05,05037,1
05,05039,0
05,05041,0
05,05043,0
05,05045,1
05,05047,1
05,05049,0
05,05051,1
05,05053,1
05,05055,0
05,05057,1
05,05059,1
05,05061,0
05,05063,0
05,05065,0
05,05067,0
05,05069,1
05,05071,1
05,05073,1
05,05075,0
05,05077,1
05,05079,0
05,05081,1
05,05083,1
05,05085,1
05,05087,0
05,05089,0
05,05091,1
05,05093,1
05,05095,1
05,05097,0
05,05099,1
05,05101,0
05,05103,0
05,05105,1
05,05107,0
05,05109,0
05,05111,1
05,05113,0
05,05115,1
05,05117,1
05,05119,1
05,05121,0
05,05123,1
05,05125,1
05,05127,0
05,05129,0
05,05131,1
05,05133,0
05,05135,0
05,05137,0
05,05139,0
05,05141,0
05,05143,1
05,05145,1
05,05147,1
05,05149,1
06,06001,1
06,06003,0
06,06005,0
06,06007,0
06,06009,0
06,06011,1
06,06013,1
06,06015,0
06,06017,1
06,06019,1
06,06021,1
06,06023,0
06,06025,1
06,06027,0
06,06029,1
06,06031,1
06,06033,0
06,06035,0
06,06037,1
06,06039,1
06,06041,1
06,06043,0
06,06045,0
06,06047,1
06,06049,0
06,06051,0
06,06053,0
06,06055,1
06,06057,1
06,06059,1
06,06061,1
06,06063,0
06,06065,1
06,06067,1
06,06069,0
06,06071,1
06,06073,1
06,06075,1
06,06077,1
06,06079,0
06,06081,1
06,06083,0
06,06085,1
06,06087,0
06,06089,1
06,06091,1
06,06093,1
06,06095,1
06,06097,0
06,06099,1
06,06101,1
06,06103,1
06,06105,1
06,06107,0
06,06109,0
06,06111,1
06,06113,1
06,06115,0
08,08001,1
08,08003,0
08,08005,1
08,08007,0
08,08009,0
08,08011,0
08,08013,1
08,08014,1
08,08015,0
08,08017,0
08,08019,1
08,08021,0
08,08023,0
08,08025,0
08,08027,0
08,08029,0
08,08031,1
08,08033,0
08,08035,1
08,08037,1
08,08039,1
08,08041,1
08,08043,0
08,08045,1
08,08047,1
08,08049,1
08,08051,0
08,08053,0
08,08055,1
08,08057,0
08,08059,1
08,08061,0
08,08063,1
08,08065,0
08,08067,0
08,08069,1
08,08071,1
08,08073,1
08,08075,1
08,08077,1
08,08079,0
08,08081,0
08,08083,0
08,08085,0
08,08087,1
08,08089,0
08,08091,0
08,08093,0
08,08095,0
08,08097,0
08,08099,0
08,08101,1
08,08103,0
08,08105,0
08,08107,0
08,08109,0
08,08111,0
08,08113,0
08,08115,1
08,08117,1
08,08119,0
08,08121,1
08,08123,1
08,08125,0
09,09001,1
09,09003,1
09,09005,1
09,09007,1
09,09009,1
09,09011,1
09,09013,1
09,09015,1
