ZCTA,INTERSTATE_5MILE
00601,0
00602,0
00603,0
00606,0
00610,0
00612,1
00616,1
00617,1
00622,0
00623,0
00624,1
00627,1
00631,0
00637,0
00638,1
00641,0
00646,1
00647,0
00650,1
00652,1
00653,0
00656,0
00659,1
00660,0
00662,1
00664,0
00667,0
00669,0
00670,0
00674,1
00676,0
00677,0
00678,1
00680,0
00682,0
00683,0
00685,1
00687,1
00688,1
00690,0
00692,1
00693,1
00694,1
00698,0
00703,1
00704,1
00705,1
00707,1
00714,1
00715,1
00716,1
00717,1
00718,1
00719,0
00720,0
00723,1
00725,1
00727,1
00728,1
00729,1
00730,1
00731,1
00735,1
00736,1
00738,1
00739,1
00740,1
00741,1
00745,1
00751,1
00754,1
00757,1
00765,0
00766,1
00767,1
00769,1
00771,1
00772,1
00773,1
00775,0
00777,1
00778,1
00780,1
00782,0
00783,1
00784,1
00786,1
00791,1
00794,0
00795,1
00801,0
00802,0
00820,0
00823,0
00824,0
00830,0
00831,0
00840,0
00841,0
00850,0
00851,0
00901,1
00906,1
00907,1
00909,1
00911,1
00912,1
00913,1
00915,1
00917,1
00918,1
00920,1
00921,1
00923,1
00924,1
00925,1
00926,1
00927,1
00934,1
00936,1
00949,1
00950,1
00951,1
00952,1
00953,1
00956,1
00957,1
00959,1
00960,1
00961,1
00962,1
00965,1
00966,1
00968,1
00969,1
00971,1
00976,1
00979,1
00982,1
00983,1
00985,1
00987,1
01001,1
01002,1
01003,1
01005,0
01007,1
01008,1
01009,1
01010,1
01011,1
01012,0
01013,1
01020,1
01022,1
01026,0
01027,1
01028,1
01029,1
01030,1
01031,0
01032,0
01033,1
01034,1
01035,1
01036,1
01037,0
01038,1
01039,1
01040,1
01050,1
01053,1
01054,1
01056,1
01057,1
01060,1
01062,1
01063,1
01066,1
01068,0
01069,1
01070,0
01071,1
01072,0
01073,1
01074,0
01075,1
01077,1
01079,1
01080,1
01081,1
01082,1
01083,1
01084,0
01085,1
01086,1
01088,1
01089,1
01092,1
01093,1
01094,0
01095,1
01096,1
01097,1
01098,0
01103,1
01104,1
01105,1
01106,1
01107,1
01108,1
01109,1
01118,1
01119,1
01128,1
01129,1
01151,1
01199,1
01201,1
01220,0
01222,0
01223,1
01224,0
01225,0
01226,0
01229,1
01230,1
01235,0
01236,1
01237,0
01238,1
01240,1
01242,1
01243,1
01244,0
01245,1
01247,0
01253,1
01254,1
01255,1
01256,0
01257,0
01258,0
01259,0
01260,1
01262,1
01264,1
01266,1
01267,0
01270,0
01301,1
01330,0
01331,0
01337,1
01338,0
01339,0
01340,1
01341,1
01342,1
01343,0
01344,1
01346,0
01347,1
01349,1
01350,0
01351,1
01354,1
01355,0
01360,1
01364,0
01366,0
01367,0
01368,0
01370,1
01373,1
01375,1
01376,1
01378,0
01379,0
01420,1
01430,0
01431,0
01432,1
01434,1
01436,0
01438,0
01440,0
01450,1
01451,1
01452,0
01453,1
01460,1
01462,1
01463,0
01464,1
01467,1
01468,0
01469,0
01473,0
01474,0
01475,0
01501,1
01503,1
01504,1
01505,1
01506,1
01507,1
01510,1
01515,1
01516,1
01518,1
01519,1
01520,1
01521,1
01522,1
01523,1
01524,1
01525,0
01527,1
01529,0
01531,0
01532,1
01534,1
01535,0
01536,1
01537,1
01540,1
01541,1
01542,1
01543,1
01545,1
01550,1
01560,1
01561,1
01562,1
01564,1
01566,1
01568,1
01569,0
01570,1
01571,1
01581,1
01583,1
01585,1
01588,1
01590,1
01602,1
01603,1
01604,1
01605,1
01606,1
01607,1
01608,1
01609,1
01610,1
01611,1
01612,1
01701,1
01702,1
01718,1
01719,1
01720,1
01721,1
01730,1
01731,1
01740,1
01741,1
01742,1
01745,1
01746,1
01747,1
01748,1
01749,1
01752,1
01754,1
01756,1
01757,1
01760,1
01770,1
01772,1
01773,1
01775,1
01776,1
01778,1
01801,1
01803,1
01810,1
01821,1
01824,1
01826,1
01827,0
01830,1
01832,1
01833,1
01834,1
01835,1
01840,1
01841,1
01843,1
01844,1
01845,1
01850,1
01851,1
01852,1
01854,1
01860,1
01862,1
01863,1
01864,1
01867,1
01876,1
01879,1
01880,1
01886,1
01887,1
01890,1
01901,1
01902,1
01904,1
01905,1
01906,1
01907,1
01908,1
01913,1
01915,1
01921,1
01922,1
01923,1
01929,0
01930,0
01937,1
01938,1
01940,1
01944,0
01945,1
01949,1
01950,1
01951,1
01952,1
01960,1
01966,0
01969,1
01970,1
01982,1
01983,1
01984,1
01985,1
02019,1
02021,1
02025,0
02026,1
02030,1
02032,1
02035,1
02038,1
02043,1
02045,1
02047,0
02048,1
02050,0
02052,1
