FIPSTEXT,y17_M003
00000,441.00
01001,305.00
01003,208.00
01005,307.00
01007,273.00
01009,129.00
01011,452.00
01013,201.00
01015,138.00
01017,389.00
01019,229.00
01021,165.00
01023,439.00
01025,202.00
01027,187.00
01029,152.00
01031,225.00
01033,254.00
01035,302.00
01037,214.00
01039,178.00
01041,211.00
01043,117.00
01045,292.00
01047,498.00
01049,128.00
01051,174.00
01053,242.00
01055,109.00
01057,211.00
01059,178.00
01061,224.00
01063,472.00
01065,402.00
01067,382.00
01069,213.00
01071,161.00
01073,98.00
01075,274.00
01077,161.00
01079,171.00
01081,216.00
01083,194.00
01085,396.00
01087,322.00
01089,181.00
01091,313.00
01093,142.00
01095,100.00
01097,145.00
01099,297.00
01101,405.00
01103,116.00
01105,468.00
01107,278.00
01109,279.00
01111,202.00
01113,333.00
01115,120.00
01117,150.00
01119,491.00
01121,140.00
01123,190.00
01125,170.00
01127,130.00
01129,275.00
01131,520.00
01133,118.00
02010,14811.00
02020,98.00
02090,372.00
02110,9.00
02122,121.00
04001,1001.00
04003,899.00
04005,2866.00
04007,4074.00
04009,2880.00
04011,536.00
04012,2574.00
04013,253.00
04015,2351.00
04017,1049.00
04019,3960.00
04021,1471.00
04023,903.00
04025,967.00
04027,542.00
05001,849.00
05003,374.00
05005,212.00
05007,126.00
05009,233.00
05011,164.00
05013,186.00
05015,248.00
05017,1057.00
05019,273.00
05021,529.00
05023,192.00
05025,154.00
05027,183.00
05029,224.00
05031,615.00
05033,153.00
05035,1201.00
05037,908.00
05039,233.00
05041,1133.00
05043,421.00
05045,168.00
05047,244.00
05049,282.00
05051,95.00
05053,175.00
05055,414.00
05057,304.00
05059,137.00
05061,256.00
05063,301.00
05065,300.00
05067,639.00
05069,671.00
05071,179.00
05073,464.00
05075,504.00
05077,1167.00
05079,566.00
05081,385.00
05083,214.00
05085,523.00
05087,226.00
05089,305.00
05091,247.00
05093,1678.00
05095,1091.00
05097,181.00
05099,218.00
05101,188.00
05103,138.00
05105,195.00
05107,1573.00
05109,209.00
05111,872.00
05113,177.00
05115,173.00
05117,779.00
05119,193.00
05121,339.00
05123,933.00
05125,113.00
05127,177.00
05129,310.00
05131,143.00
05133,263.00
05135,260.00
05137,303.00
05139,136.00
05141,209.00
05143,139.00
05145,213.00
05147,1365.00
05149,271.00
06001,411.00
06003,529.00
06005,377.00
06007,182.00
06009,343.00
06011,608.00
06013,339.00
06015,220.00
06017,65.00
06019,345.00
06021,398.00
06023,731.00
06025,1317.00
06027,3375.00
06029,1326.00
06031,640.00
06033,218.00
06035,1256.00
06037,56.00
06039,466.00
06041,408.00
06043,1008.00
06045,693.00
06047,405.00
06049,1350.00
06051,1124.00
06053,1214.00
06055,137.00
06057,77.00
06059,168.00
06061,96.00
06063,1179.00
06065,99.00
06067,224.00
06069,853.00
06071,64.00
06073,44.00
06075,9.00
06077,225.00
06079,396.00
06081,191.00
06083,487.00
06085,324.00
06087,102.00
06089,307.00
06091,1501.00
06093,923.00
06095,404.00
06097,158.00
06099,200.00
06101,329.00
06103,415.00
06105,356.00
06107,299.00
06109,294.00
06111,122.00
06113,484.00
06115,235.00
08001,779.00
08003,686.00
08005,332.00
08007,527.00
08009,2207.00
08011,2681.00
08013,106.00
08014,224.00
08015,229.00
08017,2853.00
08019,314.00
08021,508.00
08023,1562.00
08025,1969.00
08027,512.00
08029,147.00
08031,11.00
08033,504.00
08035,165.00
08037,604.00
08039,624.00
08041,468.00
08043,269.00
08045,719.00
08047,106.00
08049,831.00
08051,864.00
08053,403.00
08055,1331.00
08057,2301.00
08059,115.00
08061,2814.00
08063,2366.00
08065,362.00
08067,503.00
08069,236.00
08071,3272.00
08073,3067.00
08075,1322.00
08077,139.00
08079,444.00
08081,2063.00
08083,615.00
08085,291.00
08087,891.00
08089,1548.00
08091,698.00
08093,680.00
08095,1347.00
08097,292.00
08099,2143.00
08101,1067.00
08103,1284.00
08105,553.00
08107,524.00
08109,1090.00
08111,0.00
08113,1023.00
08115,1645.00
08117,483.00
08119,449.00
08121,1794.00
08123,517.00
08125,1809.00
09001,130.00
09003,61.00
09005,74.00
09007,37.00
09009,39.00
09011,73.00
09013,69.00
09015,80.00
10001,222.00
10003,187.00
10005,246.00
12001,111.00
12003,102.00
12005,387.00
12007,120.00
12009,300.00
12011,11.00
12013,409.00
12015,368.00
12017,92.00
12019,
12021,461.00
12023,109.00
12027,440.00
12029,240.00
12031,82.00
12033,91.00
12035,683.00
12037,
12039,127.00
12041,146.00
12043,1211.00
12045,
12047,261.00
12049,363.00
12051,993.00
12053,67.00
12055,380.00
12057,80.00
12059,140.00
12061,406.00
12063,238.00
12065,284.00
12067,364.00
12069,108.00
12071,109.00
12073,282.00
12075,177.00
12077,313.00
12079,251.00
12081,256.00
12083,83.00
12085,259.00
12086,29.00
12087,4.00
12089,146.00
12091,97.00
12093,497.00
12095,176.00
12097,1339.00
12099,376.00
12101,164.00
12103,16.00
12105,234.00
12107,150.00
12109,136.00
12111,545.00
12113,122.00
12115,244.00
12117,87.00
12119,135.00
12121,157.00
12123,245.00
12125,175.00
12127,73.00
12129,113.00
12131,149.00
12133,104.00
13001,234.00
13003,334.00
13005,228.00
13007,891.00
13009,244.00
13011,122.00
13013,78.00
13015,165.00
13017,242.00
13019,335.00
13021,93.00
13023,209.00
13025,104.00
13027,496.00
13029,272.00
13031,413.00
13033,478.00
13035,181.00
13037,686.00
13039,118.00
13043,278.00
13045,98.00
13047,97.00
13049,173.00
13051,70.00
13053,145.00
13055,171.00
13057,56.00
13059,88.00
13061,674.00
13063,31.00
13065,243.00
13067,22.00
13069,311.00
13071,373.00
13073,125.00
13075,330.00
13077,145.00
13079,184.00
13081,458.00
13083,147.00
13085,99.00
13087,569.00
13089,14.00
13091,264.00
13093,626.00
13095,586.00
13097,76.00
13099,522.00
13101,346.00
13103,199.00
13105,175.00
13107,298.00
13109,249.00
13111,78.00
13113,76.00
13115,137.00
13117,62.00
13119,105.00
13121,63.00
13123,86.00
13125,283.00
13127,36.00
13129,101.00
13131,298.00
13133,305.00
13135,60.00
13137,68.00
13139,74.00
13141,267.00
13143,84.00
13145,145.00
13147,129.00
13149,169.00
13151,52.00
13153,141.00
13155,353.00
13157,102.00
13159,171.00
13161,363.00
13163,393.00
13165,378.00
13167,263.00
13169,221.00
13171,147.00
13173,454.00
13175,247.00
13177,584.00
13179,92.00
13181,176.00
13183,120.00
13185,163.00
13187,112.00
13189,162.00
13191,305.00
13193,328.00
13195,102.00
13197,288.00
13199,206.00
13201,557.00
13205,446.00
13207,222.00
13209,333.00
13211,172.00
13213,170.00
13215,251.00
13217,146.00
13219,108.00
13221,171.00
13223,70.00
13225,255.00
13227,64.00
13229,230.00
13231,143.00
13233,155.00
13235,278.00
13237,206.00
13239,521.00
13241,56.00
13243,797.00
13245,113.00
13247,57.00
13249,392.00
13251,532.00
13253,669.00
13255,76.00
13257,86.00
13259,491.00
13261,471.00
13263,296.00
13265,374.00
13267,208.00
13269,286.00
13271,205.00
13273,524.00
13275,459.00
13277,394.00
13279,252.00
13281,64.00
13283,250.00
13285,172.00
13287,376.00
13289,338.00
13291,77.00
13293,135.00
13295,145.00
13297,108.00
13299,256.00
13301,282.00
13303,251.00
13305,198.00
13307,548.00
13309,396.00
13311,62.00
13313,95.00
13315,316.00
13317,329.00
13319,217.00
13321,464.00
15001,157.00
15003,77.00
15007,194.00
15009,177.00
16001,86.00
16003,703.00
16005,416.00
16007,752.00
16009,486.00
16011,793.00
16013,1112.00
16015,591.00
16017,74.00
16019,378.00
16021,198.00
16023,690.00
16025,1276.00
16027,120.00
16029,892.00
16031,1100.00
16033,2197.00
16035,181.00
16037,554.00
16039,1054.00
16041,290.00
16043,545.00
16045,213.00
16047,350.00
16049,759.00
16051,445.00
16053,353.00
16055,130.00
16057,336.00
16059,496.00
16061,1017.00
16063,489.00
16065,432.00
16067,432.00
16069,856.00
16071,758.00
16073,1287.00
16075,254.00
16077,1649.00
16079,51.00
16081,424.00
16083,387.00
16085,271.00
16087,876.00
17001,365.00
