CountyFIPS,natforest
21007,0
21017,0
21031,0
21065,1
21069,1
21093,0
21099,0
21131,1
21151,1
21155,0
21179,0
17091,0
17187,0
17197,1
18027,0
18061,0
01001,0
01005,0
01023,0
01035,1
01051,0
01055,0
01065,1
01089,0
01113,0
01117,0
02016,0
02130,1
02180,0
02282,1
05011,0
05015,1
05019,0
05025,0
05063,0
05067,0
05121,0
06001,0
06003,1
06005,1
06013,0
06019,1
06023,1
06033,1
06037,1
06047,0
06057,1
06081,0
06085,0
06115,1
08013,1
08029,1
08049,1
08077,1
08083,1
08091,1
09009,0
11001,0
12009,0
12023,1
12039,1
12055,0
12065,0
12073,1
12095,0
12107,1
12123,0
12127,1
12131,0
12133,0
13009,1
13027,0
13103,0
13121,0
13141,0
13149,0
13179,0
13183,0
13189,0
13209,0
13229,0
13267,0
13271,0
13291,1
13305,0
13319,0
15007,0
16015,1
16023,1
16025,1
16027,0
16037,1
16039,1
16043,1
16061,1
16063,0
16085,1
19175,0
20053,0
20095,0
20135,0
20199,0
48011,0
48025,0
48035,0
48053,0
48055,0
48083,0
29057,0
29143,0
29157,1
29189,0
29199,0
29207,1
30015,1
30023,1
30029,1
30039,1
30057,1
30071,0
30077,1
30085,0
30087,1
30105,0
31091,0
53065,1
21189,1
21195,1
21217,0
21237,1
21239,0
22001,0
22009,0
22011,0
22029,0
22031,1
22033,0
22047,0
22071,0
22081,0
22099,0
22119,1
23013,0
23015,0
24003,0
18103,0
18129,0
18147,0
19001,0
19045,0
19083,0
19111,0
31167,0
34003,0
34007,0
34013,0
34023,0
34041,0
35007,1
35011,0
35051,1
36013,0
36029,0
36043,0
36045,0
36047,0
36053,0
36065,0
36077,0
36081,0
36091,0
36115,1
37007,0
37027,1
37039,1
37049,1
37055,0
37059,0
37069,0
37083,0
37091,0
37093,0
37099,1
37111,1
37117,0
37127,0
37165,0
37175,1
37199,1
38017,0
38037,1
38085,1
38099,0
39035,0
39039,0
39043,0
39125,0
40065,0
48103,0
48141,0
48151,0
48161,0
48167,0
48199,0
48213,0
48229,0
48241,1
48245,0
48261,0
48289,0
48317,0
48333,0
48347,1
48361,0
48371,0
48395,0
48423,0
48427,0
48457,1
48471,1
48475,0
48477,0
48499,0
49001,1
49003,1
49011,1
40073,0
40079,1
40145,0
41005,1
41021,0
41033,1
41035,1
41039,1
41043,1
41051,1
41055,1
41061,1
42005,0
42029,0
42035,0
42059,0
42067,0
42091,0
42111,0
45005,1
45019,1
45025,0
45043,1
45063,0
45077,1
45091,0
46073,0
46093,1
46095,0
46123,0
47001,0
47003,0
47005,0
47019,1
47029,1
47049,0
47063,0
47073,0
47081,0
47097,0
47121,0
47149,0
47173,0
48007,0
25001,0
25013,0
25025,0
26033,1
26053,1
26063,0
26097,1
26115,0
13283,0
13289,0
13313,1
13317,0
15001,0
15009,0
16059,1
16073,1
16083,1
16087,1
17027,0
17031,0
17047,0
49029,1
49035,1
49043,1
49049,1
51015,1
51037,0
51051,1
51053,0
51069,1
51073,0
51085,0
51099,0
51125,1
51131,0
51137,0
51145,0
51149,0
51161,1
51177,0
51185,1
51199,0
53005,0
53007,1
53009,1
53015,1
53025,0
53031,1
53037,1
53043,0
12077,1
05061,1
05093,0
05095,0
05099,0
05103,0
05109,1
05117,0
05133,0
05147,0
06045,1
06051,1
24011,0
24033,0
24043,0
25007,0
25017,0
26041,1
26099,0
26103,1
26135,1
26147,0
26163,0
27023,0
27053,0
27077,0
27091,0
27129,0
27139,0
27163,0
28007,0
28033,0
28055,1
28075,0
28143,0
28157,1
28163,1
29023,1
29029,0
29031,1
29033,0
17075,0
17129,0
17161,0
17175,0
17185,0
18009,0
18035,0
18067,0
18083,0
18159,0
18175,1
49025,1
05003,0
05007,1
05013,0
05045,0
13051,0
13077,0
13123,1
13133,1
13137,1
13139,0
13143,0
13157,0
13171,0
13181,1
13185,0
13195,0
13213,1
13217,0
13237,1
13245,0
13251,0
13269,0
13279,0
23023,0
23031,1
24001,0
24005,0
24017,0
24021,0
24031,0
24045,0
28149,1
28151,0
29041,0
29069,0
29087,0
29113,0
29159,0
29183,0
29195,0
29197,0
29201,1
30001,1
30013,1
30027,1
30031,1
30045,1
30049,1
30055,0
30059,1
30069,0
30073,1
30083,1
30099,1
31103,0
31151,0
32001,0
32003,1
32015,1
33007,1
33015,0
33017,0
34001,0
34005,0
34015,0
34019,0
34021,0
34025,0
34029,0
34035,0
21229,0
21231,1
22035,0
22045,0
22053,0
22055,0
06055,0
06059,1
06069,0
06073,1
06079,1
06083,1
06097,0
06101,0
06107,1
06113,0
08019,1
08023,1
08031,0
08037,1
08055,1
01049,0
01063,0
01087,1
01091,0
01095,0
01101,0
01107,0
01115,0
01119,0
01131,0
02090,0
02158,0
02240,0
04005,1
04009,1
04013,1
54001,1
54005,0
54021,0
54039,0
54045,0
54047,0
54063,1
54067,1
54087,0
54107,0
55003,1
55043,0
55113,1
56029,1
12086,0
12093,0
12097,0
13021,0
13029,0
39137,0
39175,0
40013,1
40027,0
40057,0
40067,0
40075,0
40095,0
40125,0
40135,1
40143,0
27011,0
27013,0
27031,1
27061,1
27073,0
27075,1
27089,0
27097,0
27127,0
27161,0
27171,0
28001,1
28011,0
28029,1
28043,0
