ZCTA,WALMART_YN,WALMART_COUNT
00601,0,0
00602,0,0
00603,0,0
00606,0,0
00610,0,0
00612,0,0
00616,0,0
00617,1,1
00622,0,0
00623,0,0
00624,0,0
00627,0,0
00631,0,0
00637,0,0
00638,0,0
00641,0,0
00646,0,0
00647,0,0
00650,0,0
00652,0,0
00653,0,0
00656,0,0
00659,1,1
00660,0,0
00662,1,1
00664,0,0
00667,0,0
00669,0,0
00670,0,0
00674,1,1
00676,0,0
00677,0,0
00678,0,0
00680,1,1
00682,0,0
00683,0,0
00685,0,0
00687,0,0
00688,0,0
00690,0,0
00692,0,0
00693,0,0
00694,0,0
00698,0,0
00703,0,0
00704,0,0
00705,0,0
00707,0,0
00714,0,0
00715,0,0
00716,0,0
00717,0,0
00718,0,0
00719,0,0
00720,0,0
00723,0,0
00725,1,1
00727,0,0
00728,1,1
00729,1,1
00730,0,0
00731,0,0
00735,0,0
00736,1,1
00738,1,1
00739,0,0
00740,0,0
00741,0,0
00745,0,0
00751,0,0
00754,0,0
00757,1,1
00765,0,0
00766,0,0
00767,0,0
00769,0,0
00771,0,0
00772,0,0
00773,0,0
00775,0,0
00777,0,0
00778,0,0
00780,1,1
00782,0,0
00783,0,0
00784,1,1
00786,0,0
00791,1,1
00794,0,0
00795,0,0
00801,0,0
00802,0,0
00820,0,0
00823,0,0
00824,0,0
00830,0,0
00831,0,0
00840,0,0
00841,0,0
00850,0,0
00851,0,0
00901,0,0
00906,0,0
00907,1,1
00909,0,0
00911,0,0
00912,0,0
00913,0,0
00915,0,0
00917,0,0
00918,0,0
00920,0,0
00921,0,0
00923,0,0
00924,0,0
00925,0,0
00926,0,0
00927,0,0
00934,0,0
00936,0,0
00949,1,1
00950,0,0
00951,0,0
00952,0,0
00953,0,0
00956,0,0
00957,0,0
00959,0,0
00960,0,0
00961,1,1
00962,0,0
00965,0,0
00966,0,0
00968,0,0
00969,0,0
00971,0,0
00976,0,0
00979,0,0
00982,0,0
00983,0,0
00985,0,0
00987,1,1
01001,0,0
01002,0,0
01003,0,0
01005,0,0
01007,0,0
01008,0,0
01009,0,0
01010,0,0
01011,0,0
01012,0,0
01013,0,0
01020,1,1
01022,0,0
