Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
15137,"ROGERS, AR",1,WM Supercenter,Retail,1,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,5,Open,,Y,Y,1,No,,Yes,Available
15138,TAHLEQUAH OK,10,WM Supercenter,Retail,1,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,5,Open,,Y,Y,10,No,,No,Available
15139,"BENTONVILLE, AR",100,WM Supercenter,Retail,1,406 S WALTON BLVD,BENTONVILLE,BENTON,AR,72712-5705,5,Open,,Y,Y,100,No,Not Available,No,Not Available
15140,BROWNSVILLE TX,1000,WM Supercenter,Retail,1,2721 BOCA CHICA BLVD,BROWNSVILLE,CAMERON,TX,78521-3501,5,Open,,Y,Y,1000,No,,No,Available
15141,"PUEBLO, CO",1001,WM Supercenter,Retail,1,4080 W NORTHERN AVE,PUEBLO,PUEBLO,CO,81005-3503,5,Open,,Y,Y,1001,No,Available,No,Available
15142,LINTON IN,1002,WM Supercenter,Retail,1,2251 E STATE HIGHWAY 54,LINTON,GREENE,IN,47441-9498,5,Open,N,Y,Y,1002,No,,No,
15143,PLANO IL,1003,WM Supercenter,Retail,1,6800 W US HIGHWAY 34,PLANO,KENDALL,IL,60545-9603,5,Open,,Y,Y,1003,No,,No,Available
15144,BRADENTON FL,1004,WM Supercenter,Retail,1,5315 CORTEZ RD W,BRADENTON,MANATEE,FL,34210-2814,5,Open,,Y,Y,1004,No,Available,No,Available
15145,WAVERLY IA,1005,WM Supercenter,Retail,1,2700 4TH ST SW,WAVERLY,BREMER,IA,50677-4351,5,Open,N,Y,Y,1005,No,,No,Available
15146,CORDELE GA,1006,WM Supercenter,Retail,1,1215 E 16TH AVE,CORDELE,CRISP,GA,31015-1543,5,Open,,Y,Y,1006,No,,Yes,
15147,RICHLAND CENTER WI,1007,WM Supercenter,Retail,1,2401 US HWY 14 E,RICHLAND CENTER,RICHLAND,WI,53581-2996,5,Open,N,Y,Y,1007,No,,No,
15148,"LOVELAND (N), CO",1008,WM Supercenter,Retail,1,250 W 65TH ST,LOVELAND,LARIMER,CO,80538-4668,5,Open,,Y,Y,1008,No,,Yes,Available
15149,REPUBLIC MO,1009,WM Supercenter,Retail,1,1150 US HIGHWAY 60 E,REPUBLIC,GREENE,MO,65738-1580,5,Open,,Y,Y,1009,No,Available,Yes,Available
15150,ROLLA MO,101,WM Supercenter,Retail,1,500 S BISHOP AVE,ROLLA,PHELPS,MO,65401-4313,5,Open,,Y,Y,101,No,,Yes,Available
15151,ROCKINGHAM NC,1010,WM Supercenter,Retail,1,720 E US HIGHWAY 74,ROCKINGHAM,RICHMOND,NC,28379-7206,5,Open,,Y,Y,1010,No,Available,Yes,Available
15158,RINCON GA,1011,WM Supercenter,Retail,1,434 S COLUMBIA AVE,RINCON,EFFINGHAM,GA,31326-9079,5,Open,,Y,Y,1011,No,Available,No,Available
15159,BEAVER DAM WI,1012,WM Supercenter,Retail,1,120 FRANCES LN,BEAVER DAM,DODGE,WI,53916-1165,5,Open,,Y,Y,1012,No,,No,Available
